trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge vpl/dStopTime 
rand_055 -1.653344 -1.125381 0.000937 -1.628961 0.200795 3165669.653184 7454957982.842881 
rand_056 -1.656653 -1.112560 0.004570 -1.628941 0.189709 4288222.133724 6748925343.370419 
rand_057 -1.632030 -1.138047 0.005475 -1.628920 0.189658 5411529.781553 6550029960.197171 
rand_058 -1.649261 -1.136011 0.011823 -1.628971 0.189978 5531438.045728 7014624275.611664 
rand_059 -1.643127 -1.126721 0.001116 -1.628949 0.191800 4192317.638531 7525576114.668032 
rand_060 -1.675876 -1.167895 0.007884 -1.628964 0.190322 4435383.603642 7747419697.845559 
rand_061 -1.649066 -1.137839 0.002363 -1.628942 0.193355 4683578.832759 6742229404.410421 
rand_062 -1.670254 -1.138785 0.008159 -1.628937 0.190383 6393616.566016 6934250777.037331 
rand_063 -1.670275 -1.122775 0.001607 -1.628856 0.191929 5092083.459526 6688135869.141666 
rand_064 -1.668856 -1.121228 0.005666 -1.628924 0.194143 3918245.665821 6071882201.371900 
rand_065 -1.691421 -1.142893 0.013587 -1.628970 0.198371 4124377.434026 7269560693.110312 
rand_066 -1.666848 -1.130303 0.007411 -1.628927 0.196076 4883789.097951 7030073028.094137 
rand_067 -1.662804 -1.128659 0.007060 -1.629000 0.200247 3543275.936988 7334103779.848601 
rand_068 -1.675445 -1.135723 0.008180 -1.628910 0.194035 3936292.869679 7013037968.545970 
rand_069 -1.624236 -1.109583 0.001243 -1.628908 0.193579 5211793.313645 7077508785.554778 
rand_070 -1.658980 -1.133629 0.009479 -1.628970 0.201511 5140553.138327 7307365170.734885 
rand_071 -1.668189 -1.087143 0.003976 -1.628919 0.198456 6408783.073993 7007525721.730614 
rand_072 -1.675214 -1.146133 0.006528 -1.628938 0.199329 4003878.158234 7148930035.787514 
rand_073 -1.629290 -1.114955 0.004591 -1.628952 0.204466 5163471.668674 6870611042.814366 
rand_074 -1.673877 -1.108175 0.006769 -1.628891 0.190162 6504138.981818 7641948994.965368 
rand_075 -1.657712 -1.152418 0.002535 -1.628944 0.186663 6039585.487789 7308173102.535438 
rand_076 -1.643182 -1.119901 0.007137 -1.628923 0.196082 6628419.086852 6969704388.684331 
rand_077 -1.687034 -1.102301 0.007488 -1.628940 0.194919 3421285.824956 6790790898.060452 
rand_078 -1.666888 -1.118090 0.001490 -1.628894 0.190238 5660269.048819 6978363215.800210 
rand_079 -1.654814 -1.175505 0.001339 -1.628938 0.195782 3736262.199444 7297296353.486136 
rand_080 -1.662152 -1.113369 0.003345 -1.628949 0.193584 7439490.497725 6886756525.443432 
rand_081 -1.650489 -1.120452 0.002049 -1.628931 0.195865 5972841.740449 7375437198.104452 
rand_082 -1.658292 -1.119713 0.005254 -1.628966 0.197666 5790645.855749 7411728234.536750 
rand_083 -1.641730 -1.135396 0.004125 -1.628879 0.198216 4320952.427580 6999732654.115034 
rand_084 -1.684635 -1.149453 0.001871 -1.628891 0.197635 5348287.080638 7775016434.434555 
rand_085 -1.649050 -1.096999 0.004004 -1.628937 0.182504 5464091.000195 7395240795.342989 
rand_086 -1.660384 -1.105020 0.003921 -1.628952 0.198010 4342428.116431 6903579050.855792 
rand_087 -1.658269 -1.104903 0.001193 -1.628944 0.189798 5078693.112304 7006140854.562734 
rand_088 -1.651806 -1.134628 0.011480 -1.628962 0.194252 2434217.907827 6904758037.451598 
rand_089 -1.686006 -1.124939 0.001794 -1.628947 0.196135 6900381.089665 7897263048.339877 
rand_090 -1.666530 -1.117334 0.003891 -1.628946 0.199152 5582744.782113 6656402521.786116 
rand_091 -1.636792 -1.125146 0.001042 -1.628964 0.192896 4516839.312122 6439502349.882465 
rand_092 -1.679450 -1.127462 0.006838 -1.628901 0.194891 5788861.996550 7791355255.836473 
rand_093 -1.656115 -1.113609 0.008995 -1.628934 0.193064 3235999.740845 7068917273.758389 
rand_094 -1.656241 -1.144374 0.004538 -1.628917 0.194507 6030497.146327 7015885614.808431 
rand_095 -1.654413 -1.099675 0.005289 -1.628940 0.193736 4865376.288343 7506650046.908031 
rand_096 -1.716559 -1.128949 0.001018 -1.628961 0.197910 3197895.247177 7439422608.855642 
rand_097 -1.625314 -1.145638 0.000297 -1.628945 0.201147 5007858.412794 7222771498.955837 
rand_098 -1.681442 -1.147237 0.006321 -1.628948 0.187551 5927453.348325 7364613723.392594 
rand_099 -1.627972 -1.163694 0.004873 -1.628905 0.199615 5770502.012330 6834938587.545827 
rand_100 -1.681827 -1.119078 0.002267 -1.628896 0.199127 5029703.864286 6918173721.230577 
rand_101 -1.650318 -1.145151 0.004661 -1.628966 0.196244 5052436.487948 7265582643.683731 
rand_102 -1.669899 -1.127816 0.002170 -1.628935 0.209258 3827302.372540 6843324827.592035 
rand_103 -1.678734 -1.125124 0.000110 -1.628932 0.193312 4941411.411766 7447613029.482424 
rand_104 -1.599196 -1.183715 0.007332 -1.628946 0.191614 5482233.180365 7564353528.349133 
rand_105 -1.665612 -1.135138 0.000586 -1.628941 0.205910 6381286.013159 7041170883.178474 
rand_106 -1.692784 -1.089499 0.008495 -1.628931 0.186232 3706393.593965 7225231895.130055 
rand_107 -1.627011 -1.116351 0.010379 -1.628964 0.187094 4486427.004554 6715583927.693296 
rand_108 -1.640739 -1.124219 0.010950 -1.628927 0.198243 5443368.393814 7266720779.450961 
rand_109 -1.624144 -1.137424 0.002488 -1.628922 0.195751 2928694.231891 7443382176.154294 
rand_110 -1.690792 -1.187004 0.006459 -1.628964 0.188451 4548029.687158 7172133407.649111 
rand_111 -1.680750 -1.127994 0.005633 -1.628893 0.198352 6644290.717343 7681099878.625919 
rand_112 -1.651406 -1.125640 0.005748 -1.628934 0.192964 3673869.899379 7029663736.276597 
rand_113 -1.668372 -1.149630 0.001276 -1.628894 0.185603 5558231.912993 7758314514.074364 
rand_114 -1.673503 -1.147721 0.004102 -1.628926 0.197583 5084867.028822 7422468345.260954 
rand_115 -1.643933 -1.140700 0.004029 -1.628931 0.199141 5101262.291019 6506111456.500625 
rand_116 -1.688110 -1.125614 0.005036 -1.628904 0.188425 5482706.790121 7709676923.875132 
rand_117 -1.687588 -1.162913 0.003600 -1.628923 0.187581 4444608.770590 6632748960.536710 
rand_118 -1.653248 -1.168704 0.004339 -1.628965 0.182513 4781945.993788 6288698740.293389 
rand_119 -1.682486 -1.115636 0.000958 -1.628929 0.194012 4938121.629060 7147893856.818034 
rand_120 -1.670657 -1.140668 0.000417 -1.628919 0.192146 5784670.604705 7068658321.108815 
rand_121 -1.655154 -1.104801 0.006796 -1.628949 0.191599 5544928.508082 7331598330.731626 
rand_122 -1.675580 -1.151138 0.002711 -1.628897 0.199367 5121821.402026 6494224745.823714 
rand_123 -1.679754 -1.133569 0.000602 -1.628938 0.192094 4245418.393786 7489858876.991611 
rand_124 -1.630555 -1.107490 0.012815 -1.628926 0.188160 4132320.712653 6469925833.206288 
rand_125 -1.664907 -1.105790 0.012094 -1.628933 0.193880 3742114.733969 6821694633.820759 
rand_126 -1.645035 -1.128714 0.007492 -1.628906 0.195772 4268347.586760 6101106948.157504 
rand_127 -1.673417 -1.153409 0.002051 -1.628909 0.189149 5330297.371462 7994291203.152838 
rand_128 -1.663652 -1.166926 0.009071 -1.628934 0.188817 6338370.992130 7401476533.533781 
rand_129 -1.655246 -1.131972 0.007800 -1.628954 0.199273 5145269.237050 6785517102.612519 
rand_130 -1.659817 -1.111954 0.002424 -1.628964 0.186789 4278341.539729 7179710050.743217 
rand_131 -1.654606 -1.145809 0.003730 -1.628941 0.189890 4993741.748881 7508375654.733369 
rand_132 -1.610844 -1.114985 0.005800 -1.628929 0.190357 4389719.991093 7512873893.676435 
rand_133 -1.638056 -1.162765 0.004397 -1.628936 0.193863 5716836.878116 6889012500.091553 
rand_134 -1.647069 -1.129446 0.006594 -1.628938 0.197090 3745414.615976 6521093353.028295 
rand_135 -1.634451 -1.113271 0.009486 -1.628952 0.195917 5878485.070793 6511148284.832178 
rand_136 -1.669731 -1.110722 0.004532 -1.628972 0.194357 5624502.769994 7207237618.141012 
rand_137 -1.622096 -1.124658 0.000964 -1.628934 0.203990 4279253.778573 6603378358.682629 
rand_138 -1.694182 -1.138877 0.005807 -1.628960 0.192913 4251380.152867 6925558393.918171 
rand_139 -1.647841 -1.143651 0.000628 -1.628931 0.187049 4557945.263967 6878955951.468590 
rand_140 -1.628609 -1.163238 0.004973 -1.628924 0.196839 5511520.940108 6737928755.133883 
rand_141 -1.692626 -1.140330 0.002361 -1.628899 0.194107 4050336.487242 7134490857.784889 
rand_142 -1.657929 -1.100416 0.001831 -1.628945 0.194001 3559985.134769 7360942587.754632 
rand_143 -1.672091 -1.134028 0.010865 -1.628968 0.192793 4789733.609045 7597539413.697025 
rand_144 -1.690613 -1.128525 0.006974 -1.628940 0.195963 5735432.797581 7372706317.822778 
rand_145 -1.655044 -1.124606 0.002220 -1.628928 0.201142 3287050.879822 8022305208.666492 
rand_146 -1.667826 -1.137276 0.007573 -1.628899 0.201557 2491078.824629 6612194870.875680 
rand_147 -1.634332 -1.112767 0.002363 -1.628902 0.204414 5690260.642358 6778160412.675097 
rand_148 -1.661345 -1.126720 0.003993 -1.628937 0.197837 5129947.818736 7631301761.607208 
rand_149 -1.684569 -1.133577 0.006212 -1.628940 0.201381 4962525.261937 8189993722.730333 
rand_150 -1.663547 -1.144690 0.003077 -1.628966 0.197259 4732524.613506 7204328755.456045 
rand_151 -1.671137 -1.114871 0.005803 -1.628944 0.192719 5000147.921396 7229819719.822293 
rand_152 -1.626318 -1.126135 0.001729 -1.628920 0.203220 5706411.886243 6791254949.423104 
rand_153 -1.651498 -1.129698 0.010573 -1.628898 0.192322 6691028.493620 7918863592.306462 
rand_154 -1.659858 -1.130927 0.005888 -1.628915 0.193105 5490888.278488 6955793734.050862 
rand_155 -1.614955 -1.120855 0.003321 -1.628949 0.197177 4194639.941641 7450825205.664965 
rand_156 -1.652955 -1.149796 0.001545 -1.628970 0.195078 4707805.686460 6712623772.948496 
rand_157 -1.669727 -1.150751 0.002643 -1.628926 0.189293 5006812.118266 7044542869.669693 
rand_158 -1.667340 -1.122916 0.012532 -1.628942 0.200403 5351600.171197 7506344390.302241 
rand_159 -1.647644 -1.114150 0.001589 -1.628917 0.192292 5365936.455129 7159062171.174135 
rand_160 -1.677142 -1.160399 0.001989 -1.628954 0.200106 5226518.208342 6861887282.638437 
rand_161 -1.589206 -1.116989 0.009296 -1.628887 0.194755 6572255.705218 6438579732.544659 
rand_162 -1.653120 -1.104164 0.002361 -1.628944 0.194517 5606431.192671 6154689811.929513 
rand_163 -1.656235 -1.171899 0.003286 -1.628889 0.192306 3780322.452544 7033273253.243631 
rand_164 -1.701831 -1.143264 0.003702 -1.628913 0.197234 4975871.442042 7143358626.491115 
rand_165 -1.712297 -1.129374 0.004814 -1.628917 0.192149 6203521.817054 7401330352.959734 
rand_166 -1.674427 -1.081320 0.008043 -1.628960 0.209453 4470782.592153 7284838394.824989 
rand_167 -1.672320 -1.135825 0.005182 -1.628967 0.199292 4441526.355298 6471174953.259328 
rand_168 -1.676345 -1.137901 0.003243 -1.628937 0.199694 4864797.241703 7228545529.600969 
rand_169 -1.663739 -1.123881 0.000725 -1.628965 0.189092 4813439.001155 7294367107.988450 
rand_170 -1.705329 -1.147251 0.001841 -1.628905 0.198589 4683771.387322 6774849350.082157 
rand_171 -1.645920 -1.130027 0.002604 -1.628907 0.196459 4454302.375162 7465274293.223331 
rand_172 -1.661162 -1.133038 0.007746 -1.628921 0.191762 6251648.245877 6848906748.985989 
rand_173 -1.649508 -1.103399 0.002356 -1.628948 0.204291 5314766.423538 6526350732.798762 
rand_174 -1.653712 -1.130440 0.006892 -1.628907 0.188827 4039536.544632 7802107939.080617 
rand_175 -1.678068 -1.082299 0.001578 -1.628934 0.190694 3711461.964510 7289036213.301480 
rand_176 -1.651350 -1.156550 0.007145 -1.628952 0.194445 4742549.306248 6828552429.700186 
rand_177 -1.628781 -1.133253 0.004583 -1.628938 0.201379 5366719.430185 7749983491.162662 
rand_178 -1.676821 -1.129159 0.001843 -1.628933 0.192188 5257648.913319 7051368680.430268 
rand_179 -1.636919 -1.128369 0.002651 -1.628920 0.189303 5345690.216299 7047909142.065321 
rand_180 -1.630323 -1.157731 0.003818 -1.628900 0.191666 5749154.662242 7140615538.093516 
rand_181 -1.657162 -1.123702 0.004727 -1.628978 0.191612 4784672.103452 6738227005.456758 
rand_182 -1.663501 -1.163591 0.011516 -1.628884 0.195505 6409550.025972 7627292748.074626 
rand_183 -1.666183 -1.151206 0.003680 -1.628926 0.191564 4706701.033377 7007808876.381073 
rand_184 -1.657439 -1.144567 0.001839 -1.628923 0.191858 4241566.890328 7307046454.170712 
rand_185 -1.606216 -1.117880 0.001616 -1.628918 0.193728 2274041.632498 7129932542.808433 
rand_186 -1.674738 -1.116319 0.000820 -1.628925 0.188275 5848337.507923 6820262721.904852 
rand_187 -1.647653 -1.124315 0.003694 -1.628912 0.199126 3667335.458017 6894095443.428043 
rand_188 -1.651737 -1.139214 0.005671 -1.628848 0.193635 6337664.755605 7933783340.229059 
rand_189 -1.635792 -1.110579 0.004464 -1.628880 0.191254 2104949.455851 7078848456.492885 
rand_190 -1.660921 -1.137896 0.002160 -1.628934 0.195828 5155184.136797 7224193563.046830 
rand_191 -1.652082 -1.150013 0.005928 -1.628884 0.196312 3952350.554846 6793691284.102226 
rand_192 -1.678039 -1.113690 0.004059 -1.628911 0.193064 5477382.597346 6016796635.359937 
rand_193 -1.673114 -1.176131 0.006516 -1.628963 0.191772 4269559.888724 6532832115.836022 
rand_194 -1.661509 -1.129709 0.005417 -1.628964 0.195721 6415845.114925 7314620041.673980 
rand_195 -1.697606 -1.142296 0.002963 -1.628933 0.186341 3798163.497949 7329545238.467614 
rand_196 -1.668706 -1.117940 0.003603 -1.628900 0.195137 5163318.240806 7325619011.865098 
rand_197 -1.649461 -1.127134 0.011256 -1.628929 0.193734 5220941.916169 7416993990.741950 
rand_198 -1.632418 -1.131974 0.001076 -1.628900 0.198366 4344779.139731 7071774527.489055 
rand_199 -1.672229 -1.156108 0.008768 -1.628906 0.196450 5886057.449227 6905773433.827597 
rand_200 -1.661797 -1.128627 0.002424 -1.628918 0.197155 3741147.881365 6752111994.918176 
rand_201 -1.659373 -1.123541 0.004172 -1.628937 0.188386 5366994.088238 6504121625.186033 
rand_202 -1.672595 -1.137641 0.002297 -1.628944 0.202522 5719578.267905 7192480927.311642 
rand_203 -1.668440 -1.131006 0.005754 -1.628941 0.196286 4034061.410361 7000938804.134718 
rand_204 -1.642475 -1.115333 0.002965 -1.628910 0.187638 5921022.031402 6509973226.845455 
rand_205 -1.609246 -1.141857 0.002860 -1.628928 0.188483 4779241.602196 7509396486.098948 
rand_206 -1.653827 -1.159061 0.002734 -1.628930 0.194447 4230904.574030 8223615898.831823 
rand_207 -1.635702 -1.113706 0.006210 -1.628949 0.192076 4977119.560967 6703149803.310611 
rand_208 -1.690978 -1.120217 0.002484 -1.628900 0.201578 3959306.116413 6971138098.983920 
rand_209 -1.651927 -1.115775 0.001778 -1.628909 0.197335 4757542.752051 7291288203.920848 
rand_210 -1.624856 -1.142173 0.003071 -1.628857 0.193735 2996911.227238 7072959533.102868 
rand_211 -1.634816 -1.129954 0.009084 -1.628927 0.190704 5911659.362616 7208230256.226095 
rand_212 -1.664437 -1.124511 0.004391 -1.628884 0.190713 5835690.904749 6842813988.912875 
rand_213 -1.637337 -1.116809 0.002831 -1.628941 0.191367 7285242.385936 8146525410.607615 
rand_214 -1.652609 -1.121899 0.003486 -1.628970 0.191166 4805549.442244 6503254895.213032 
rand_215 -1.691588 -1.141588 0.008671 -1.628953 0.188417 5579461.755224 6627379668.528931 
rand_216 -1.678704 -1.128902 0.000250 -1.628909 0.192365 4877437.974413 6606637359.874833 
rand_217 -1.643649 -1.154266 0.007247 -1.628965 0.202229 5355864.041468 7328900817.711870 
rand_218 -1.665169 -1.126831 0.005104 -1.628936 0.193637 6770247.222461 7034151360.429174 
rand_219 -1.694512 -1.094688 0.009528 -1.628922 0.192030 5896168.122210 6833153057.603821 
rand_220 -1.654973 -1.166117 0.005470 -1.628908 0.193530 5408477.698383 7522759674.217454 
rand_221 -1.673926 -1.134577 0.000325 -1.628957 0.193186 3184838.692732 7149435694.349818 
rand_222 -1.722045 -1.134677 0.002765 -1.628909 0.195886 5390631.181996 7010353443.164227 
rand_223 -1.662612 -1.126947 0.002370 -1.628938 0.198716 3607249.034116 6717465875.364923 
rand_224 -1.700687 -1.136938 0.014753 -1.628906 0.191181 5398963.597760 6710927062.521130 
rand_225 -1.661734 -1.154260 0.004609 -1.628913 0.191958 5292622.296547 7208817406.558080 
rand_226 -1.662551 -1.123375 0.007037 -1.628943 0.189319 4001412.707469 7068525122.563866 
rand_227 -1.605997 -1.116987 0.001505 -1.628960 0.199380 4500557.516736 7480764738.234307 
rand_228 -1.646466 -1.103706 0.002459 -1.628905 0.202799 6135302.530604 7063682499.662977 
rand_229 -1.652757 -1.121600 0.006091 -1.628958 0.194123 6130326.399745 6600894907.841070 
rand_230 -1.630666 -1.110592 0.004353 -1.628929 0.197535 7036458.741627 6486129139.324976 
rand_231 -1.669514 -1.147526 0.006922 -1.628938 0.195564 3649002.610728 6608115093.280475 
rand_232 -1.669519 -1.142909 0.000502 -1.628956 0.191398 5648623.343418 7086520483.881556 
rand_233 -1.676920 -1.168413 0.000064 -1.628949 0.192358 5830207.019512 6582526476.688503 
rand_234 -1.633442 -1.112867 0.003770 -1.628937 0.195181 6181436.952303 6815388032.057549 
rand_235 -1.655641 -1.133441 0.001090 -1.628939 0.198049 6262066.603589 6896267944.818969 
rand_236 -1.675200 -1.123949 0.006389 -1.628930 0.191935 5722629.494866 6720803412.540273 
rand_237 -1.641892 -1.113953 0.002004 -1.628941 0.203834 6507375.589151 7031055960.762355 
rand_238 -1.687637 -1.110444 0.004758 -1.628902 0.190657 5159220.110879 6983193920.530349 
rand_239 -1.679612 -1.140641 0.002996 -1.628896 0.193064 4201892.116478 7605761326.787449 
rand_240 -1.666982 -1.143681 0.002604 -1.628953 0.196597 3390601.044491 7502708429.277800 
rand_241 -1.657643 -1.138711 0.005230 -1.628949 0.187886 3482731.340306 7573063975.049767 
rand_242 -1.652383 -1.151283 0.000173 -1.628927 0.191015 5473141.938210 7130740868.799857 
rand_243 -1.664997 -1.127065 0.010190 -1.628945 0.192822 3438432.467733 6882965384.967868 
rand_244 -1.654509 -1.109352 0.000010 -1.628939 0.195676 4992487.237891 7221791689.867816 
rand_245 -1.642350 -1.166920 0.004934 -1.628936 0.203138 4695340.900874 7403103904.743653 
rand_246 -1.624421 -1.137956 0.000717 -1.628957 0.194964 4381982.109681 7722985011.625278 
rand_247 -1.659095 -1.156984 0.005087 -1.628942 0.193267 5671490.119002 7056528045.628186 
rand_248 -1.621247 -1.146949 0.000277 -1.628963 0.196258 4652695.026284 7450894999.890558 
rand_249 -1.657138 -1.139410 0.008534 -1.628930 0.196805 4563429.374555 6735533548.365726 
rand_250 -1.666166 -1.104910 0.007806 -1.628865 0.193465 4917855.012896 7236899316.155749 
rand_251 -1.671689 -1.096486 0.004946 -1.628948 0.197210 4868325.252813 7552497325.607463 
rand_252 -1.689607 -1.115235 0.000346 -1.628960 0.195681 5159905.577453 6925664570.862543 
rand_253 -1.670607 -1.127979 0.006542 -1.628982 0.192228 6152484.266401 7026733111.433815 
rand_254 -1.642874 -1.127454 0.000854 -1.628940 0.193130 4772428.633326 6881948593.934612 
rand_255 -1.677645 -1.114996 0.005452 -1.628942 0.197542 5638210.392113 7045580315.716305 
rand_256 -1.677765 -1.114079 0.003880 -1.628944 0.198768 4444656.900829 7232058766.494818 
rand_257 -1.671477 -1.117537 0.008258 -1.628885 0.189839 4088557.919081 7365181016.305539 
rand_258 -1.645875 -1.109869 0.013016 -1.628928 0.198133 5123482.435993 7186808154.951411 
rand_259 -1.674820 -1.143034 0.004069 -1.628898 0.197016 4855844.495593 6865730791.649721 
rand_260 -1.705135 -1.133521 0.006787 -1.628905 0.191691 4296964.023298 6544785763.510205 
rand_261 -1.700360 -1.115279 0.011463 -1.628963 0.201437 5590190.856718 7443108928.926338 
rand_262 -1.680248 -1.139412 0.005334 -1.628904 0.200711 3245384.549895 8085985819.404511 
rand_263 -1.658775 -1.085056 0.008720 -1.628933 0.192930 5364064.921386 6852358968.731662 
rand_264 -1.666128 -1.116541 0.000717 -1.628968 0.192028 4624346.962033 6631555432.710172 
rand_265 -1.662865 -1.138063 0.005660 -1.628950 0.193029 4455937.574438 6653506489.215525 
rand_266 -1.628759 -1.095990 0.009325 -1.628900 0.194635 6681754.517075 6668388379.344309 
rand_267 -1.620207 -1.114386 0.009227 -1.628936 0.187390 6114338.579311 6653737476.922509 
rand_268 -1.684749 -1.144702 0.004835 -1.628943 0.191042 5564717.115032 7012420293.785508 
rand_269 -1.689507 -1.125859 0.002633 -1.628907 0.195068 4354172.715771 6715883917.364807 
rand_270 -1.635964 -1.146091 0.002947 -1.628895 0.199473 3274179.666941 7851821715.072592 
rand_271 -1.658366 -1.121442 0.014489 -1.628920 0.190577 6827531.443152 7453580448.738812 
rand_272 -1.659427 -1.151222 0.002825 -1.628940 0.188911 3644554.681392 7742155165.655272 
rand_273 -1.682814 -1.127301 0.002684 -1.628900 0.194799 6189264.384052 7139779772.563819 
rand_274 -1.690206 -1.131309 0.000958 -1.628981 0.190955 5279929.407021 7021515045.476109 
rand_275 -1.716621 -1.120902 0.007252 -1.628928 0.196795 4844918.187033 7152532169.244582 
rand_276 -1.657824 -1.117892 0.010745 -1.628903 0.193882 4941500.970447 7125731220.084939 
rand_277 -1.639897 -1.118026 0.005930 -1.628898 0.190298 5943116.834022 7178927788.683733 
rand_278 -1.647435 -1.126465 0.002812 -1.628883 0.194720 6648464.508981 6602620918.812760 
rand_279 -1.654065 -1.150205 0.000109 -1.628897 0.200620 6091185.094084 7528284563.084155 
rand_280 -1.682734 -1.125953 0.001276 -1.628922 0.189542 5382072.257468 6511334821.111947 
rand_281 -1.691791 -1.136190 0.004247 -1.628955 0.195478 7111504.313773 7318838634.902612 
rand_282 -1.644702 -1.098102 0.003160 -1.628937 0.191602 5687881.611662 7021291003.282186 
