trial star/dMass vpl/dStopTime 
rand_250 0.189353 8186432105.063460 
rand_251 0.193367 6332691176.578601 
rand_252 0.193289 7205701010.983281 
rand_253 0.190826 6797475335.483147 
rand_254 0.191191 6955587071.390204 
rand_255 0.196832 6902683873.190800 
rand_256 0.191861 8249245856.842375 
rand_257 0.189359 8828853205.779354 
rand_258 0.197804 7964056399.017756 
rand_259 0.198093 8518013352.516597 
rand_260 0.198291 6081472922.259658 
rand_261 0.194450 8162860412.395025 
rand_262 0.190363 7406097977.909509 
rand_263 0.201273 7875395629.953222 
rand_264 0.196084 6853220137.113449 
rand_265 0.192811 6702934428.718481 
rand_266 0.194570 8185985521.699939 
rand_267 0.191342 7059810557.406604 
rand_268 0.186289 7154257952.803344 
rand_269 0.188231 6761963487.052267 
rand_270 0.188211 7050807512.330518 
rand_271 0.193417 7050150614.810329 
rand_272 0.187580 5999187550.967464 
rand_273 0.194216 8187770491.019667 
rand_274 0.200541 8362578969.668995 
rand_275 0.190580 7604885308.338863 
rand_276 0.190827 7712918573.023623 
rand_277 0.194919 6817866528.139211 
rand_278 0.192927 7855172112.575270 
rand_279 0.190516 6952414267.151686 
rand_280 0.193013 7884223805.314807 
rand_281 0.195405 5095129052.082683 
rand_282 0.202537 7154052910.146442 
rand_283 0.196443 6766354799.835690 
rand_284 0.194454 6631607206.630525 
rand_285 0.191486 5395982469.865742 
rand_286 0.189388 5845086556.948679 
rand_287 0.197148 7009492015.909266 
rand_288 0.200519 6809960501.433364 
rand_289 0.194429 7291250548.211421 
rand_290 0.197952 7742919467.812032 
rand_291 0.197686 6931904751.087209 
rand_292 0.188806 4900917586.440301 
rand_293 0.196354 6463624444.924593 
rand_294 0.194806 6899379282.666430 
rand_295 0.196807 7142734826.917543 
rand_296 0.199291 6526641668.701900 
rand_297 0.193833 7289966655.933276 
rand_298 0.194103 7765600125.696585 
rand_299 0.200476 5542484842.181157 
rand_300 0.191714 7161392984.883683 
rand_301 0.190420 7138967610.436118 
rand_302 0.191013 6945281076.333004 
rand_303 0.193284 7388191189.467751 
rand_304 0.193365 10034145219.162928 
rand_305 0.191521 7226098087.301856 
rand_306 0.192310 5974988975.625816 
rand_307 0.188478 7484706045.563977 
rand_308 0.188634 5931680221.668225 
rand_309 0.197127 7059779955.345716 
rand_310 0.201582 8001067589.573953 
rand_311 0.189168 9508993293.548687 
rand_312 0.193747 8550781439.359097 
rand_313 0.188659 8660732797.604519 
rand_314 0.194239 6051315934.458080 
rand_315 0.191792 7822732868.099568 
rand_316 0.188233 8352002984.911232 
rand_317 0.192721 7006922379.644588 
rand_318 0.189893 8153270448.355987 
rand_319 0.203525 6447919888.034347 
rand_320 0.195046 8812620829.352713 
rand_321 0.192145 7359191335.696163 
rand_322 0.196607 6157510716.291876 
rand_323 0.188735 8035324470.157089 
rand_324 0.187887 6678479754.860373 
rand_325 0.190914 6419555523.174017 
rand_326 0.191425 8546718399.692342 
rand_327 0.199982 6323884372.057260 
rand_328 0.193854 8722690474.739229 
rand_329 0.190240 7973898288.202091 
rand_330 0.190844 6857364134.820638 
rand_331 0.195540 6839885611.921406 
rand_332 0.196697 6731860212.946712 
rand_333 0.196269 7017628648.449781 
rand_334 0.199157 7667729198.776029 
rand_335 0.198034 9098350449.653772 
rand_336 0.192883 8401820417.838825 
rand_337 0.198975 6589680798.386928 
rand_338 0.190910 8004137700.806664 
rand_339 0.193765 8390861183.508754 
rand_340 0.193588 6726005727.826451 
rand_341 0.192510 6360234082.643080 
rand_342 0.191541 8829078697.984905 
rand_343 0.194117 7994597322.786207 
rand_344 0.193552 7317394097.239825 
rand_345 0.189258 6991046229.609448 
rand_346 0.188291 6083634694.724360 
rand_347 0.192434 6802487080.451605 
rand_348 0.192390 10794696325.816568 
rand_349 0.193679 8596106050.057581 
rand_350 0.197835 7524134682.953446 
rand_351 0.190539 6247414760.672405 
rand_352 0.183430 7239922810.939422 
rand_353 0.195110 7787679234.677448 
rand_354 0.194925 5916532927.167481 
rand_355 0.197959 7545512758.863302 
rand_356 0.195017 6102665918.219320 
rand_357 0.198376 8456252568.684368 
rand_358 0.199073 7061016435.114832 
rand_359 0.187410 7724855117.380672 
rand_360 0.192813 6999568456.569448 
rand_361 0.195722 8577362417.094911 
rand_362 0.194919 7444388594.715055 
rand_363 0.188860 7168135799.260194 
rand_364 0.189453 7071875373.048275 
rand_365 0.193951 7016959195.932734 
rand_366 0.197027 8194086816.375599 
rand_367 0.184213 6949879554.061614 
rand_368 0.193853 5782934318.002983 
rand_369 0.197514 6911102866.668265 
rand_370 0.194584 7744535279.575716 
rand_371 0.193500 6322504607.262512 
rand_372 0.195160 6821058486.023952 
rand_373 0.203728 6827439302.004193 
rand_374 0.194366 9104147330.268301 
rand_375 0.192379 6617066184.362195 
rand_376 0.193448 8108088472.910151 
rand_377 0.193746 6679201656.811420 
rand_378 0.193818 6236179797.078849 
rand_379 0.191167 7051708004.695274 
rand_380 0.194809 7567471332.373484 
rand_381 0.182684 6983563908.351152 
rand_382 0.187944 7985424947.051126 
rand_383 0.190069 6705308829.366961 
rand_384 0.189746 7053498463.544746 
rand_385 0.196533 6957454999.328318 
rand_386 0.191534 8192586611.864019 
rand_387 0.195204 6679375094.370015 
rand_388 0.195293 4613729148.261769 
rand_389 0.189218 6788635218.555246 
rand_390 0.192581 8376752463.721735 
rand_391 0.191387 4852754564.943952 
rand_392 0.193000 7975571285.419235 
rand_393 0.193239 7232451932.659318 
rand_394 0.191713 5685800311.524654 
rand_395 0.194183 5953749883.680936 
rand_396 0.199489 6865627365.450615 
rand_397 0.200293 5959817012.378773 
rand_398 0.190795 6746627370.931444 
rand_399 0.197193 7277539325.429441 
rand_400 0.187828 6500226045.458602 
rand_401 0.196876 7567432588.358678 
rand_402 0.193707 7290678597.700264 
rand_403 0.190125 7675004296.789088 
rand_404 0.192688 12330791426.177580 
rand_405 0.191239 6464340251.506743 
rand_406 0.191024 5977515481.871401 
rand_407 0.202484 7116538160.695253 
rand_408 0.194294 6828478968.826302 
rand_409 0.189413 8254101959.549285 
rand_410 0.194235 6188452034.442127 
rand_411 0.196671 7365791279.950650 
rand_412 0.203214 9434031719.639830 
rand_413 0.197685 7831108286.532496 
rand_414 0.190372 6093465841.781717 
rand_415 0.199899 7226478691.836422 
rand_416 0.196817 5974443366.832742 
rand_417 0.201781 7235308873.621802 
rand_418 0.197213 6441141857.802938 
rand_419 0.196203 6261780829.471232 
rand_420 0.190066 6667731734.849688 
rand_421 0.189140 5385686815.792550 
rand_422 0.182233 6338423403.564750 
rand_423 0.197421 8501402641.614801 
rand_424 0.196024 6228721357.552174 
rand_425 0.186298 6467426376.991166 
rand_426 0.195930 8833143341.491268 
rand_427 0.200417 7698499176.489639 
rand_428 0.193377 7643253000.984551 
rand_429 0.195819 8904235738.819027 
rand_430 0.184824 7026191912.057306 
rand_431 0.189972 7865625262.145687 
rand_432 0.195127 5768069984.220460 
rand_433 0.194604 7326312524.141242 
rand_434 0.190816 7980159908.373772 
rand_435 0.201731 7906124176.371334 
rand_436 0.191992 6170735387.659258 
rand_437 0.201591 6194452858.905481 
rand_438 0.188259 6692753311.829083 
rand_439 0.192571 7097071816.866742 
rand_440 0.197675 8576037327.132992 
rand_441 0.195339 5533093450.532036 
rand_442 0.194945 9678903242.623833 
rand_443 0.199365 8829359697.543650 
rand_444 0.195611 7289953534.910048 
rand_445 0.199568 7895830056.270988 
rand_446 0.186466 8769846048.686672 
rand_447 0.192255 9734741927.609182 
rand_448 0.200129 6959246168.105228 
rand_449 0.194970 6835356093.834878 
rand_450 0.186044 7302126696.992008 
rand_451 0.188863 8688756004.370300 
rand_452 0.196405 5876807800.445385 
rand_453 0.192189 6931990858.021553 
rand_454 0.191684 6915712209.448850 
rand_455 0.191267 8055290767.260969 
rand_456 0.196204 7295340147.285029 
rand_457 0.193340 7517426295.416426 
rand_458 0.194571 7676783024.873929 
rand_459 0.193918 6674658247.535856 
rand_460 0.195460 9811440588.373808 
rand_461 0.203530 6180344324.176588 
rand_462 0.188559 6864079599.163305 
rand_463 0.194907 6865591620.210287 
rand_464 0.191296 6631888483.077105 
rand_465 0.195060 8388803218.232960 
rand_466 0.189693 7695058480.309809 
rand_467 0.194045 7505358158.734477 
rand_468 0.193619 6787222200.152847 
rand_469 0.193970 8784523086.257439 
rand_470 0.199110 7721388491.251845 
rand_471 0.182039 8052436447.641059 
rand_472 0.186733 7806480733.519257 
rand_473 0.193720 7279748743.781535 
rand_474 0.192098 8006135860.298743 
rand_475 0.197732 7942943432.828736 
rand_476 0.190819 7100811713.828196 
rand_477 0.199564 7154569651.335092 
rand_478 0.196265 7028146529.513654 
rand_479 0.193158 7485704519.131367 
rand_480 0.189865 6288755937.061569 
rand_481 0.187000 7527383668.579375 
rand_482 0.190638 6198124155.387843 
rand_483 0.190908 7715325541.923729 
rand_484 0.191958 6970461279.561376 
rand_485 0.182914 11239907725.923454 
rand_486 0.197210 7421995318.255946 
rand_487 0.201452 6167835124.679009 
rand_488 0.190199 6485961616.254122 
rand_489 0.193633 7158256437.052289 
rand_490 0.189944 5301416431.173559 
rand_491 0.199943 5651298389.946874 
rand_492 0.199592 7203756498.196239 
rand_493 0.190155 8092361378.338179 
rand_494 0.199586 7715274711.303619 
rand_495 0.191604 7283259980.463124 
rand_496 0.202757 8119300775.334578 
rand_497 0.193841 5778062701.463865 
rand_498 0.198874 6643341817.438931 
rand_499 0.190209 7277292261.838648 
