trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD vpl/dStopTime 
rand_047 -1.644761 -1.168022 0.002186 -1.628935 0.204308 5644104.222040 -0.039186 -2.711459 -1.861239 0.221663 6757438239.085310 
rand_048 -1.630748 -1.130360 0.000317 -1.628933 0.190336 6101295.715872 -0.055265 -2.778788 -1.694091 0.211915 7445835530.990802 
rand_049 -1.654194 -1.135883 0.008166 -1.628983 0.189593 5598892.672487 -0.124265 -3.167483 -2.040606 0.340634 6964384303.456838 
rand_050 -1.658699 -1.127008 0.003034 -1.628884 0.193170 3706703.525123 -0.218721 -2.910052 -1.387709 0.362091 6600817836.700891 
rand_051 -1.622081 -1.153264 0.003008 -1.628922 0.197026 6379469.770139 -0.110910 -2.676499 -1.321149 0.223262 8325736655.613282 
rand_052 -1.663457 -1.148748 0.003851 -1.628942 0.193325 3722274.043759 -0.132646 -2.914398 -0.937845 0.233396 7858613022.049655 
rand_053 -1.644282 -1.111876 0.008586 -1.628904 0.187208 5673980.876276 -0.194988 -3.206804 -1.468060 0.258114 7034135973.236273 
rand_054 -1.655224 -1.159346 0.002888 -1.628955 0.189678 5115173.988384 -0.315243 -3.470227 -1.687797 0.445195 7419707507.765325 
rand_055 -1.628618 -1.121837 0.004270 -1.628920 0.196451 4310031.636924 -0.093124 -3.464518 -1.711768 0.276954 7837457900.561835 
rand_056 -1.659513 -1.108311 0.005325 -1.628916 0.195634 3910824.345440 -0.221896 -2.949359 -1.777163 0.313203 6792832559.153406 
rand_057 -1.653609 -1.110856 0.017140 -1.628948 0.190067 4429785.702810 -0.205897 -2.806016 -1.870339 0.290663 7230408067.940470 
rand_058 -1.688698 -1.146436 0.000185 -1.628957 0.195945 4042125.799855 -0.134584 -2.603010 -1.706061 0.284416 7348151614.887495 
rand_059 -1.654476 -1.151607 0.006345 -1.628969 0.199461 5582722.354551 -0.271874 -2.797808 -1.590056 0.271466 6769351452.510562 
rand_060 -1.667514 -1.149454 0.006919 -1.628953 0.193226 3906690.763319 -0.135425 -3.300628 -1.700700 0.290341 7524015028.077320 
rand_061 -1.680031 -1.147809 0.005234 -1.628880 0.194718 6963398.734477 -0.104589 -3.194071 -1.506157 0.261703 6355140720.512159 
rand_062 -1.660882 -1.126445 0.006005 -1.628991 0.194183 6008424.069402 -0.098674 -2.814629 -1.247371 0.246651 7960249719.560412 
rand_063 -1.627590 -1.117838 0.001407 -1.628907 0.202625 4423716.027260 -0.158215 -2.610147 -2.263380 0.298815 6859814076.846192 
rand_064 -1.672606 -1.141308 0.005590 -1.628937 0.189918 5488189.426274 -0.158408 -2.887012 -1.920944 0.368850 6733875745.240005 
rand_065 -1.641493 -1.122496 0.004234 -1.628888 0.198502 4961254.683947 -0.179403 -3.368579 -1.616770 0.331634 7325094189.187593 
rand_066 -1.673461 -1.111821 0.009657 -1.628915 0.203980 5472534.710554 -0.133650 -2.722906 -1.683014 0.177404 6790714704.808209 
rand_067 -1.685995 -1.113608 0.002547 -1.628939 0.202765 4674128.185085 -0.196361 -2.687544 -1.668545 0.186907 6748608728.224519 
rand_068 -1.648414 -1.150326 0.001783 -1.628873 0.187799 4835910.695640 -0.111078 -2.717224 -2.026705 0.326855 7763149033.697069 
rand_069 -1.640851 -1.119294 0.004920 -1.628938 0.201076 3395987.836739 -0.124360 -2.959486 -2.056098 0.336852 6716623695.688413 
rand_070 -1.637476 -1.140529 0.008031 -1.628936 0.193847 3622102.814238 -0.106273 -2.781500 -1.894046 0.334190 7128274661.172596 
rand_071 -1.629193 -1.099434 0.003228 -1.628917 0.198622 3371051.872188 -0.134339 -2.921960 -1.972705 0.288960 7068693040.861300 
rand_072 -1.646131 -1.135526 0.007888 -1.628921 0.196850 5489676.005163 0.013571 -2.773991 -1.648506 0.169452 7949942338.100267 
rand_073 -1.668538 -1.116055 0.001583 -1.628904 0.197729 4558307.137641 -0.186189 -2.828027 -1.782681 0.315954 7653221766.164289 
rand_074 -1.697452 -1.141477 0.004002 -1.628953 0.189884 5496782.890487 -0.048782 -2.673364 -2.100421 0.303661 7571321287.720727 
rand_075 -1.667034 -1.164907 0.003136 -1.628945 0.198149 3546200.525604 -0.191004 -3.121934 -1.244585 0.300625 7349707565.083203 
rand_076 -1.622837 -1.140767 0.007926 -1.628953 0.194013 5084774.460747 -0.216044 -2.812458 -1.467035 0.317585 6900406144.903507 
rand_077 -1.677808 -1.139842 0.005464 -1.628956 0.190503 6550266.636586 -0.185615 -2.624552 -1.253155 0.212796 7009588974.406719 
rand_078 -1.675406 -1.090075 0.008938 -1.628936 0.192102 5356821.628577 -0.204721 -3.286131 -1.372764 0.349292 6537252520.836406 
rand_079 -1.685596 -1.156529 0.008882 -1.628918 0.196619 4992657.739913 -0.161207 -2.798682 -1.112049 0.174856 7289941955.019779 
rand_080 -1.660255 -1.097111 0.000502 -1.628886 0.194885 7352822.859461 -0.084502 -2.993443 -1.485875 0.188687 6654386112.912376 
rand_081 -1.636303 -1.129401 0.006676 -1.628892 0.198575 5483404.216585 -0.140039 -2.964495 -2.016665 0.261703 7017780150.278421 
rand_082 -1.598650 -1.135395 0.010968 -1.628917 0.194167 4759416.332394 -0.123288 -2.989436 -2.095739 0.337649 7601257116.557941 
rand_083 -1.702147 -1.162297 0.005541 -1.628968 0.191561 5953635.303504 -0.041592 -3.157967 -1.414815 0.267591 7382001261.396367 
rand_084 -1.689232 -1.152839 0.008253 -1.628938 0.192105 6631271.161025 -0.116894 -2.359928 -2.349622 0.363750 6920848775.516309 
rand_085 -1.620976 -1.140643 0.003075 -1.628923 0.185377 5059907.834905 -0.159140 -2.592291 -1.593900 0.283177 6809775515.421298 
rand_086 -1.659905 -1.147796 0.002444 -1.628888 0.186997 4882306.249974 -0.373076 -2.700360 -1.767747 0.389683 6592944591.837568 
rand_087 -1.668427 -1.150620 0.000211 -1.628927 0.201861 4704642.024685 -0.229020 -2.671372 -2.090467 0.309712 7264950609.797711 
rand_088 -1.706365 -1.149714 0.003068 -1.628905 0.192423 4800347.014231 -0.089381 -2.665527 -2.357577 0.336013 7026985585.117228 
rand_089 -1.640743 -1.117788 0.011455 -1.628923 0.198354 3765692.324940 -0.180025 -2.594093 -1.687009 0.287880 7415386702.798805 
rand_090 -1.666393 -1.143315 0.010267 -1.628925 0.202948 5502002.094078 -0.220383 -3.480493 -1.314864 0.245823 6863645261.912664 
rand_091 -1.647349 -1.133835 0.000262 -1.628905 0.188000 5144703.518575 -0.129528 -3.197549 -1.470869 0.313820 7371893857.415345 
rand_092 -1.673509 -1.158027 0.000758 -1.628902 0.192864 5022778.362727 -0.109685 -2.519050 -1.779060 0.199319 7223312302.316258 
rand_093 -1.672262 -1.095127 0.004344 -1.628937 0.189868 6186027.440359 -0.119404 -3.059961 -1.522359 0.181897 7550150060.499435 
rand_094 -1.657982 -1.116143 0.003973 -1.628973 0.191593 4568785.612579 -0.161746 -2.588837 -2.134779 0.246784 7161316727.857807 
rand_095 -1.658873 -1.152742 0.003812 -1.628940 0.194192 3933222.609173 -0.113485 -2.891364 -1.626870 0.231954 7159512889.012013 
rand_096 -1.667662 -1.115178 0.001883 -1.628939 0.188044 4187042.459005 -0.216684 -2.984305 -1.504249 0.230516 7124098966.281302 
rand_097 -1.657319 -1.151327 0.005050 -1.628950 0.186559 5858120.033919 -0.164553 -3.642314 -1.403907 0.392700 6700985330.131172 
rand_098 -1.638597 -1.123035 0.001714 -1.628953 0.196592 4562675.849938 -0.271349 -3.053486 -1.073216 0.230098 6825984477.105867 
rand_099 -1.696863 -1.130229 0.005720 -1.628933 0.194960 4593579.878398 -0.218227 -3.558383 -1.320325 0.326970 7076908095.173771 
rand_100 -1.680183 -1.103573 0.007270 -1.628954 0.196647 4675026.493097 -0.145049 -2.793503 -1.642886 0.292236 7387413507.816041 
rand_101 -1.660024 -1.149916 0.009429 -1.628938 0.196383 3706157.214982 -0.181769 -3.022109 -1.615511 0.275369 6812085731.637326 
rand_102 -1.652112 -1.167231 0.004801 -1.628905 0.190726 5136767.295784 -0.149911 -3.286422 -1.611074 0.219375 7065562926.118551 
rand_103 -1.656677 -1.146379 0.011059 -1.628935 0.192051 4161119.633890 -0.220123 -3.164467 -1.147991 0.220112 6753950257.389658 
rand_104 -1.664064 -1.134426 0.008598 -1.628905 0.187803 3900808.054020 -0.087290 -2.690190 -1.346637 0.203718 7095200944.384115 
rand_105 -1.658659 -1.131898 0.005103 -1.628903 0.188755 5744365.067294 -0.116712 -3.312116 -1.978085 0.361912 7122664169.049592 
rand_106 -1.669582 -1.117810 0.001776 -1.628917 0.197632 6864903.631117 -0.100331 -2.673883 -1.339102 0.214982 7196698320.404921 
rand_107 -1.620366 -1.152995 0.007019 -1.628931 0.198914 2191675.218982 -0.190509 -2.884887 -1.675947 0.333117 7399273318.808549 
rand_108 -1.641984 -1.147162 0.002819 -1.628894 0.194810 4421876.173076 -0.120066 -3.463848 -1.948221 0.334270 7442121134.188608 
rand_109 -1.688884 -1.119926 0.000111 -1.628929 0.192586 5148176.308987 -0.105831 -2.853854 -2.149374 0.322000 6833384874.473981 
rand_110 -1.657432 -1.105572 0.006693 -1.628958 0.196228 5373309.195751 -0.176279 -2.964596 -1.726691 0.266071 7048511588.856403 
rand_111 -1.616684 -1.118074 0.004567 -1.628881 0.196842 5811118.100540 -0.126751 -2.647324 -2.354781 0.337600 7366828164.132641 
rand_112 -1.674639 -1.160877 0.002605 -1.628961 0.190702 4231900.660866 -0.262183 -2.512669 -1.348269 0.328495 6591073045.698688 
rand_113 -1.643355 -1.119765 0.001379 -1.628941 0.190838 4976692.114782 -0.136116 -2.969000 -1.994148 0.294870 6858706192.112100 
rand_114 -1.632112 -1.126584 0.004327 -1.628934 0.195320 5042344.873087 -0.172602 -3.151356 -1.878379 0.368438 6922944585.606020 
rand_115 -1.691072 -1.092516 0.008603 -1.628977 0.186098 5789481.412171 -0.145101 -2.884068 -2.122840 0.396810 7232430916.621506 
rand_116 -1.679051 -1.135355 0.000592 -1.628931 0.196523 4947384.289210 -0.136269 -3.002953 -1.378121 0.308912 6789476106.996585 
rand_117 -1.661103 -1.136146 0.001365 -1.628960 0.191199 3570255.717964 -0.150649 -3.202411 -1.588887 0.295559 7477029523.880390 
rand_118 -1.652828 -1.119673 0.006697 -1.628951 0.198000 3698470.325714 -0.251051 -3.324630 -1.086042 0.219712 7287472305.360150 
rand_119 -1.669678 -1.147754 0.004501 -1.628931 0.191087 3707295.740997 -0.061287 -2.733347 -2.170916 0.311929 7109414257.572800 
rand_120 -1.642047 -1.146532 0.005667 -1.628906 0.201038 4566330.512713 -0.230237 -2.854696 -1.719036 0.393330 7907219813.324042 
rand_121 -1.646271 -1.162777 0.010230 -1.628946 0.201875 7535179.793814 -0.254379 -3.469938 -1.275906 0.218649 7514385330.670280 
rand_122 -1.667905 -1.140464 0.002246 -1.628922 0.192811 5048404.017499 -0.142397 -2.610417 -2.013878 0.307720 7479920346.173767 
rand_123 -1.677611 -1.122790 0.001257 -1.628908 0.193522 5592637.427643 -0.098104 -2.533413 -1.740148 0.248943 8360014696.388708 
rand_124 -1.676733 -1.109652 0.007582 -1.628924 0.192137 4469149.766709 -0.130548 -3.196478 -1.576699 0.266980 7188074036.101484 
rand_125 -1.638905 -1.127697 0.001030 -1.628972 0.196959 5431907.575642 -0.107919 -2.836641 -0.870883 0.089117 7026904731.424465 
rand_126 -1.656784 -1.138688 0.002051 -1.628968 0.200929 5214285.100951 -0.109166 -3.104283 -1.539652 0.198583 7131064895.804750 
rand_127 -1.710303 -1.109576 0.002706 -1.628922 0.189755 4504988.913339 -0.083347 -3.189218 -1.353261 0.151455 7241372274.357141 
rand_128 -1.663895 -1.132316 0.005862 -1.628927 0.189000 3603882.503269 -0.182913 -3.003866 -1.731833 0.292799 7374658053.802951 
rand_129 -1.668082 -1.178793 0.004167 -1.628922 0.198039 4253397.779407 -0.084617 -2.952250 -1.602598 0.256970 6658488972.265240 
rand_130 -1.682624 -1.090147 0.004679 -1.628899 0.199298 4726791.977005 -0.119390 -3.079979 -1.489730 0.298820 7069012963.506373 
rand_131 -1.627360 -1.108005 0.001727 -1.628923 0.193670 4119121.546763 -0.144102 -3.299130 -1.690099 0.325735 6921432275.759201 
rand_132 -1.684745 -1.124558 0.004751 -1.628938 0.202931 6745321.045233 -0.240944 -3.077475 -1.765840 0.246074 7257799423.346789 
rand_133 -1.669502 -1.150642 0.004641 -1.628917 0.196978 4810001.701778 -0.110715 -3.327719 -1.431000 0.232217 7255309200.829440 
rand_134 -1.660562 -1.137247 0.000235 -1.628924 0.192065 6142422.085037 -0.169502 -3.317978 -1.868747 0.347460 7863917512.770986 
rand_135 -1.668126 -1.129996 0.006888 -1.628909 0.194145 5663002.848657 -0.136879 -2.620409 -1.587226 0.265714 7867372070.416851 
rand_136 -1.605828 -1.120275 0.004508 -1.628920 0.193754 5364210.605448 -0.141932 -2.897055 -1.460587 0.196984 7029007053.779741 
rand_137 -1.675173 -1.166366 0.002816 -1.628945 0.192644 5098636.482410 -0.146497 -3.143002 -1.274442 0.171397 6737653177.439596 
rand_138 -1.639729 -1.141172 0.001966 -1.628914 0.195055 4245927.729366 -0.130484 -2.620432 -2.394102 0.391634 7567320471.114525 
rand_139 -1.652233 -1.114757 0.005758 -1.628935 0.184731 6298190.681061 -0.169296 -2.754139 -2.035425 0.343745 7641601291.139356 
rand_140 -1.643280 -1.127733 0.006056 -1.628963 0.192423 6232705.420689 -0.125619 -3.534725 -1.570719 0.299810 7617534883.716451 
rand_141 -1.656651 -1.135767 0.013589 -1.628949 0.195457 4181271.313128 -0.077546 -3.101812 -2.115017 0.321777 7115634564.230498 
rand_142 -1.681105 -1.133249 0.004159 -1.628952 0.196037 5929235.704091 -0.102675 -3.105764 -1.445839 0.323555 6974839556.324344 
rand_143 -1.647554 -1.152568 0.002397 -1.628963 0.192503 4301165.762835 -0.106734 -3.268561 -1.815795 0.321393 7742049606.641805 
rand_144 -1.700799 -1.132600 0.008056 -1.628915 0.196813 5068990.074678 -0.059192 -3.008773 -1.284007 0.162304 6818207840.606715 
rand_145 -1.655510 -1.154019 0.003287 -1.628969 0.195749 4093835.937696 -0.097438 -2.580304 -1.795063 0.281198 7042263217.818694 
rand_146 -1.691089 -1.123488 0.000779 -1.628895 0.204079 3860399.758773 -0.041294 -2.952302 -2.401513 0.304131 7545117336.252066 
rand_147 -1.629144 -1.128199 0.009220 -1.628927 0.199304 5347237.184181 -0.269339 -2.521073 -1.807861 0.288375 7312756194.332407 
rand_148 -1.660178 -1.129815 0.003221 -1.628935 0.196552 5836869.827210 -0.168803 -3.340915 -1.677810 0.288168 6784984711.206288 
rand_149 -1.635758 -1.161740 0.004485 -1.628962 0.195421 4968634.747068 -0.189980 -3.461425 -1.340635 0.296441 7013759979.525171 
rand_150 -1.625149 -1.141702 0.003572 -1.628937 0.188101 5213354.706974 -0.226468 -2.787031 -1.004734 0.190180 6924301499.025760 
rand_151 -1.689329 -1.137855 0.005031 -1.628938 0.196170 3639611.948028 -0.159389 -2.868486 -2.623641 0.415167 6733103967.772303 
rand_152 -1.648806 -1.132943 0.001228 -1.628953 0.198178 4214632.303624 -0.267967 -2.767455 -1.329741 0.240880 6903885013.983963 
rand_153 -1.655047 -1.131446 0.008404 -1.628922 0.192509 3183803.851860 -0.204071 -2.622787 -1.440800 0.359686 7751468923.662414 
rand_154 -1.644800 -1.129182 0.001656 -1.628916 0.191510 4619417.393972 -0.251808 -3.261312 -1.268321 0.356455 7977745176.219597 
rand_155 -1.657677 -1.136499 0.002944 -1.628923 0.194922 4645921.097080 -0.092228 -3.020963 -1.644802 0.330594 7495491257.279252 
rand_156 -1.662798 -1.124927 0.007137 -1.628892 0.188202 5769190.122976 -0.213575 -3.165066 -2.128281 0.364335 7673773114.721527 
rand_157 -1.617619 -1.097224 0.004297 -1.628952 0.189303 5032245.077185 -0.135761 -2.946531 -1.743543 0.324443 7424997784.996596 
rand_158 -1.687986 -1.112099 0.000327 -1.628951 0.191143 5943747.301630 -0.245130 -2.424293 -2.162794 0.363400 7489108147.406868 
rand_159 -1.656637 -1.117039 0.007113 -1.628943 0.179278 5831379.177145 -0.163597 -3.172436 -2.097672 0.347901 7401362104.556602 
rand_160 -1.663339 -1.181352 0.004827 -1.628914 0.198361 4671619.779623 -0.221880 -3.143586 -1.453929 0.338319 7603281844.139427 
rand_161 -1.641065 -1.164006 0.005411 -1.628922 0.190360 7029393.825794 -0.151570 -3.506581 -1.304829 0.332239 7383357206.180868 
rand_162 -1.634794 -1.120729 0.006914 -1.628974 0.191749 4477890.859493 -0.095844 -3.401627 -1.274629 0.235932 6606224426.527685 
rand_163 -1.615550 -1.148735 0.005121 -1.628924 0.190659 3236647.225383 -0.131328 -3.054443 -1.233441 0.281976 6810578004.905823 
rand_164 -1.687376 -1.118295 0.005461 -1.628970 0.187214 5555933.520784 -0.091439 -3.664783 -1.463075 0.266004 6785242234.534771 
rand_165 -1.684708 -1.154367 0.002078 -1.628911 0.195586 4366608.652983 -0.116923 -3.111781 -1.624744 0.353420 6839682311.335972 
rand_166 -1.668169 -1.135263 0.005844 -1.628906 0.188729 5025659.500411 -0.180231 -3.095214 -2.358434 0.350513 6998689777.246202 
rand_167 -1.697940 -1.101097 0.006494 -1.628959 0.187382 5526579.657980 -0.066994 -2.578921 -1.951794 0.239969 7567562258.066933 
rand_168 -1.693144 -1.156870 0.005080 -1.628949 0.197526 4368112.028464 -0.185267 -3.502836 -1.540903 0.364577 6873656887.850858 
rand_169 -1.658520 -1.119470 0.003890 -1.628955 0.193634 3669914.100213 -0.135246 -2.474395 -1.653838 0.250755 7268623131.589540 
rand_170 -1.666670 -1.123410 0.000016 -1.628896 0.186722 4033062.736285 -0.235090 -3.066441 -1.574658 0.335758 7366020115.764251 
rand_171 -1.658235 -1.111094 0.009966 -1.628951 0.189401 4398457.665168 -0.108471 -3.127537 -1.145699 0.168457 6923122229.383532 
rand_172 -1.653279 -1.077507 0.003037 -1.628910 0.193258 5265843.175413 -0.055075 -3.199623 -1.887498 0.261128 6476814802.536707 
rand_173 -1.657993 -1.090724 0.000667 -1.628918 0.193258 4768792.740838 -0.090936 -3.600332 -1.405894 0.200301 7082925014.496181 
rand_174 -1.657900 -1.094604 0.003485 -1.628917 0.197521 3991016.043933 -0.072418 -2.537818 -2.142308 0.339941 7023121252.038863 
rand_175 -1.657113 -1.104464 0.003643 -1.628943 0.189091 7305109.829433 -0.331233 -2.194786 -1.797311 0.343886 7035423019.442055 
rand_176 -1.672433 -1.098333 0.006196 -1.628975 0.196546 5286142.371972 -0.172948 -2.352842 -2.472675 0.338688 6846874539.023367 
rand_177 -1.684544 -1.111166 0.001495 -1.628981 0.189214 3400985.209106 -0.387912 -3.284095 -1.502021 0.352936 7268439113.636958 
rand_178 -1.691713 -1.148066 0.000080 -1.628939 0.192532 5794052.298193 -0.167046 -2.638713 -1.668508 0.287658 7511839867.364800 
rand_179 -1.664365 -1.114818 0.003810 -1.628967 0.195777 6414784.297266 -0.098431 -2.933633 -1.979390 0.214234 6160844155.286114 
rand_180 -1.667915 -1.118383 0.003844 -1.628959 0.199757 3623167.102872 -0.066653 -3.260521 -1.464325 0.220752 6754033677.113691 
rand_181 -1.590517 -1.117864 0.009394 -1.628948 0.189642 4657181.893867 -0.169624 -2.844947 -1.545840 0.331284 6974696524.364700 
rand_182 -1.625610 -1.132641 0.004356 -1.628937 0.193973 4787707.694126 -0.265350 -3.438979 -1.074540 0.352074 6757725971.241102 
rand_183 -1.647372 -1.149571 0.004608 -1.628962 0.196130 5505505.364847 -0.069167 -3.327257 -1.216092 0.127244 7187947744.752947 
rand_184 -1.704619 -1.140179 0.003703 -1.628921 0.192124 4630852.649703 -0.157933 -2.979702 -1.513718 0.289785 7159871770.764057 
rand_185 -1.679299 -1.126876 0.000393 -1.628943 0.186607 5821473.796946 -0.094807 -3.069939 -2.032029 0.290506 6983194042.172784 
rand_186 -1.642311 -1.137180 0.001182 -1.628906 0.192662 4746000.840604 -0.124665 -2.815577 -1.586221 0.311703 7884853925.137615 
rand_187 -1.659714 -1.118379 0.001393 -1.628923 0.195075 4603643.237483 -0.061846 -2.688735 -1.592585 0.250960 6710607660.972563 
rand_188 -1.637005 -1.109804 0.009803 -1.628913 0.192328 5936793.106265 -0.089037 -3.359107 -1.961099 0.275207 7568194511.018224 
rand_189 -1.659995 -1.145655 0.002096 -1.628985 0.188748 4227252.304724 -0.277316 -3.126715 -1.532018 0.313832 7233635593.635632 
rand_190 -1.653113 -1.141709 0.002537 -1.628902 0.197917 6966134.728988 -0.133905 -2.682282 -1.551717 0.270823 6973924610.889059 
