trial star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta 
rand_327 0.002159 474782270.343964 1.330708 
rand_328 0.000445 1175048724.418655 1.086892 
rand_329 0.000763 846227950.220622 1.098195 
rand_330 0.000550 1269418367.360358 1.469073 
rand_331 0.001029 804435262.643379 1.214918 
rand_332 0.000799 1035773865.768672 1.568221 
rand_333 0.000958 1077291312.770455 1.383166 
rand_334 0.000907 1467625301.147948 1.361480 
rand_335 0.001455 1327228693.827537 1.574520 
rand_336 0.002419 359707396.448715 1.294281 
rand_337 0.001451 861797437.202591 1.654233 
rand_338 0.001305 412704554.910459 1.284242 
rand_339 0.000921 1631519467.940580 1.710462 
rand_340 0.002057 540924849.361520 1.282244 
rand_341 0.000556 1001735711.169034 1.303800 
rand_342 0.000589 1785266527.956377 1.547507 
rand_343 0.000644 890412453.544924 0.815882 
rand_344 0.001285 269121081.401868 1.112180 
rand_345 0.001352 1132342917.242467 1.272219 
rand_346 0.000726 371621974.454423 0.931600 
rand_347 0.000892 490213611.486340 1.348431 
rand_348 0.001251 1204336938.295249 1.385320 
rand_349 0.001087 1042453806.233263 1.461158 
rand_350 0.000823 502832632.881168 1.096608 
rand_351 0.000651 1068614716.056888 1.597260 
rand_352 0.000822 990561470.926758 0.838979 
rand_353 0.000590 1319171729.166764 1.588319 
rand_354 0.000676 456521517.781779 0.945091 
rand_355 0.000397 1020767057.084363 0.953257 
rand_356 0.001104 728506531.994732 1.338438 
rand_357 0.002397 873339286.616523 1.497230 
rand_358 0.000339 827086217.229872 0.740240 
rand_359 0.001081 1378129915.361667 1.457424 
rand_360 0.000688 1447100476.885100 1.634801 
rand_361 0.001147 324360775.543594 1.097291 
rand_362 0.000589 1508731815.103664 1.365413 
rand_363 0.001528 920046037.908334 1.597081 
rand_364 0.000314 1145789335.552503 1.195077 
rand_365 0.000355 1414864687.409070 1.237048 
rand_366 0.001066 1943254556.896164 1.938785 
rand_367 0.000787 1563671397.389214 1.399813 
rand_368 0.000419 576672918.494460 0.965452 
rand_369 0.000429 1335183669.341501 1.198355 
rand_370 0.001478 894992683.585784 1.601313 
rand_371 0.000772 1137368883.936815 1.404686 
rand_372 0.000653 708542370.500021 1.141075 
rand_373 0.001995 1108475947.312626 1.802805 
rand_374 0.001598 181848061.889498 0.942475 
rand_375 0.002570 347473969.795516 1.557343 
rand_376 0.000571 1410728315.157769 1.311622 
rand_377 0.001011 902151166.372004 1.341635 
rand_378 0.000560 706012433.893161 1.074152 
rand_379 0.001339 1088015779.011627 1.598082 
rand_380 0.000707 1044805465.281874 1.388478 
rand_381 0.000670 1400749364.907948 1.188318 
rand_382 0.000689 959197906.124217 1.100264 
rand_383 0.000245 1578206396.299084 1.076418 
rand_384 0.000353 2006149770.100718 1.108081 
rand_385 0.001066 378742227.243165 0.715477 
rand_386 0.001128 477444225.059146 0.892156 
rand_387 0.001553 522555949.533492 1.203518 
rand_388 0.000831 854430219.771471 1.388850 
rand_389 0.003325 160749494.441082 1.029067 
rand_390 0.000474 1671546343.374017 0.913638 
rand_391 0.000980 580681557.436566 1.452691 
rand_392 0.004192 303212036.205672 1.188845 
rand_393 0.000932 861809883.495935 1.282839 
rand_394 0.000301 342802452.051036 0.591113 
rand_395 0.000905 360555200.466578 1.170869 
rand_396 0.000197 2179931535.597705 1.091531 
rand_397 0.001681 433316626.138761 1.365523 
rand_398 0.000235 1615208598.795731 0.854705 
rand_399 0.000218 2206615768.138441 1.251716 
rand_400 0.000748 489949830.915154 0.981666 
rand_401 0.000873 995481834.534266 1.601473 
rand_402 0.000330 1121159393.184415 1.217660 
rand_403 0.000211 3247920889.160690 1.035910 
rand_404 0.001575 1103729584.735783 1.273977 
rand_405 0.000809 646048920.736300 1.069434 
rand_406 0.000356 848381952.153005 1.174544 
rand_407 0.001154 602631910.245038 1.176487 
rand_408 0.000800 982454868.434313 1.313862 
rand_409 0.000884 2185525579.186161 1.677252 
rand_410 0.000613 1985918862.824648 1.462987 
rand_411 0.000187 3484304778.425915 1.133845 
rand_412 0.000640 1560997960.574510 1.484120 
rand_413 0.000431 1693959449.367092 1.447251 
rand_414 0.000903 389589023.500123 0.988023 
rand_415 0.000814 591204173.937474 1.133105 
rand_416 0.000422 941738941.813254 0.991158 
rand_417 0.000518 1323243863.458707 1.479047 
rand_418 0.001267 677655926.774742 1.237583 
rand_419 0.002092 510024870.761494 1.322881 
rand_420 0.000670 733379764.252450 1.148641 
rand_421 0.000555 1089873435.902725 1.550949 
rand_422 0.000545 1209762664.961802 1.357051 
rand_423 0.000780 654312458.156475 0.919727 
rand_424 0.000750 466613878.749443 1.059596 
rand_425 0.001261 337407256.715649 1.124479 
rand_426 0.000770 672994719.326352 1.042152 
rand_427 0.001664 487904144.992515 1.102822 
rand_428 0.000831 946670512.243445 1.006366 
rand_429 0.000700 2251708834.281157 1.603810 
rand_430 0.001037 1259901642.272232 1.214244 
rand_431 0.000740 416276690.484263 0.889907 
rand_432 0.000301 592885922.058744 0.806739 
rand_433 0.000873 1258893378.335621 1.414263 
rand_434 0.003370 510253130.543134 1.401563 
rand_435 0.001754 214928315.671918 1.134393 
rand_436 0.002027 201324521.654876 1.079071 
rand_437 0.001438 862441140.126356 1.635781 
rand_438 0.000578 2200552190.556164 1.241840 
rand_439 0.001106 500229662.641792 1.165122 
rand_440 0.000326 2826156702.483254 1.664877 
rand_441 0.001596 796512355.544139 1.634786 
rand_442 0.000648 1117728661.042411 1.122829 
rand_443 0.001264 1079415083.737593 1.724806 
rand_444 0.000849 907832228.598076 1.491152 
rand_445 0.000355 1059280850.827651 1.052355 
rand_446 0.000327 2570101758.815495 0.998273 
rand_447 0.000971 843561421.855173 0.906812 
rand_448 0.000636 694207630.236374 1.329309 
rand_449 0.000965 719530862.816603 1.202680 
rand_450 0.000788 1192118642.633338 1.367560 
rand_451 0.001013 503243792.996632 0.960015 
rand_452 0.001109 675517264.966470 1.670895 
rand_453 0.000943 1167405368.924064 1.526079 
rand_454 0.000655 488744128.031385 0.971424 
rand_455 0.002044 493092269.549304 1.309420 
rand_456 0.001454 1130504737.946735 1.782355 
rand_457 0.001102 1202788163.982860 1.392800 
rand_458 0.000528 1814954071.005324 1.313849 
rand_459 0.000287 2258277079.616025 1.060110 
rand_460 0.000814 376356056.473669 0.797300 
rand_461 0.001472 275502138.456342 0.980596 
rand_462 0.000636 1309108044.187722 1.668162 
rand_463 0.001538 150118490.980117 0.818685 
rand_464 0.000882 552964057.907730 1.228092 
rand_465 0.000474 1829621669.716101 1.321462 
rand_466 0.001226 233418184.354089 1.053228 
rand_467 0.000778 664159267.370654 1.204389 
rand_468 0.000517 2076374880.379505 1.555393 
rand_469 0.001061 1473703785.062389 1.686108 
rand_470 0.000633 926331428.236675 0.932470 
rand_471 0.000518 1261785111.834865 1.179655 
rand_472 0.000169 2237951632.501890 0.617658 
rand_473 0.001669 307008809.544886 0.821041 
rand_474 0.001089 873835045.472751 1.217744 
rand_475 0.001111 986950367.834027 1.391289 
rand_476 0.000635 1377134404.549110 1.319096 
rand_477 0.000502 1750895080.832593 1.236393 
rand_478 0.000425 959365013.326198 0.877237 
rand_479 0.001245 493758581.646658 1.022975 
rand_480 0.001297 611178946.493107 1.327773 
rand_481 0.000460 1502047696.816017 1.034630 
rand_482 0.000714 542826547.286066 1.057053 
rand_483 0.000615 2004478020.089267 1.444513 
rand_484 0.001308 770928442.116419 1.420294 
rand_485 0.001032 1271502238.451310 1.467980 
rand_486 0.001172 903625195.638673 1.462419 
rand_487 0.000612 1916777770.894315 1.322969 
rand_488 0.000578 807933494.773802 1.321089 
rand_489 0.000349 1176518122.756858 0.974429 
rand_490 0.000628 625394021.403027 1.399211 
rand_491 0.000757 1519326982.103993 1.461706 
rand_492 0.000875 369828276.275027 0.960645 
rand_493 0.001301 1201524196.740051 1.195987 
rand_494 0.001280 217777483.266510 0.862586 
rand_495 0.001398 176933906.171114 0.939928 
rand_496 0.000679 1581368777.810102 1.702840 
rand_497 0.000391 806134352.375793 1.220499 
rand_498 0.001350 1160115839.873308 1.777015 
rand_499 0.000569 969121590.179051 1.089294 
