star_name,prot_days,prot_err,prot_src,log_age_gyr,log_age_err,log_lx,log_lx_err,log_lx_lbol,log_lx_lbol_err,xray_src
2MASS J04160235+3325301,4.77,0.05,M20,-0.747,0.040,28.80,0.05,-3.22,0.06,M20
BD-17 6768,4.83,0.05,M20,-0.744,0.040,28.67,0.03,-3.33,0.04,M20
AU Mic (GJ 803),4.85,0.05,M20,-0.743,0.040,29.41,0.07,-3.15,0.12,"C, R, S, X"
EPIC 202059229,5.01,0.05,M20,-0.733,0.040,29.15,0.37,-3.17,0.44,M22
GSC 02083-01558,5.34,0.05,M20,-0.712,0.040,28.65,0.06,-3.27,0.07,M20
1RXS J175750.3+471634,5.45,0.05,M20,-0.705,0.040,29.09,0.35,-3.36,0.42,M20
LP 149-56,6.17,0.06,M20,-0.661,0.041,28.84,0.03,-3.23,0.04,M20
NGC 6475,,,,-0.660,0.100,29.41,0.33,-2.89,0.36,N16
TYC 3059-299-1,6.46,0.06,M20,-0.643,0.041,29.30,0.02,-3.16,0.02,M20
CD-72 1700A (GJ 1264),6.67,0.07,M20,-0.629,0.041,29.31,0.17,-2.92,0.20,M22
UCAC4 678-130516,6.85,0.07,M20,-0.618,0.042,29.04,0.11,-3.50,0.13,M20
TYC 2703-706-1,7.80,0.21,M20,-0.559,0.044,29.14,0.06,-3.34,0.07,"R, S"
UCAC4 666-047939,7.85,0.08,M20,-0.556,0.043,28.88,0.11,-3.49,0.13,M20
EPIC 202059204,7.89,0.08,M20,-0.554,0.043,28.62,0.04,-3.61,0.05,M20
1RXS J051125.0+265849,8.09,0.08,M20,-0.541,0.043,29.00,0.08,-3.08,0.10,M20
UCAC4 729-006249,8.35,0.08,M20,-0.525,0.043,29.09,0.03,-3.33,0.04,M20
TYC 3425-1133-1,8.35,0.08,M20,-0.525,0.043,28.92,0.02,-3.33,0.02,M20
2MASS J21154192+1746242,9.02,0.09,M20,-0.484,0.044,29.06,0.06,-3.31,0.07,M20
UCAC4 643-115616,9.65,0.10,M20,-0.444,0.045,29.25,0.07,-3.34,0.08,M20
CK Ari,9.70,0.10,M20,-0.441,0.045,29.06,0.02,-3.26,0.02,M20
UCAC4 654-053944,10.08,0.28,M20,-0.418,0.048,28.83,0.32,-3.66,0.38,"C, R, S, X"
UCAC4 669-046011,10.35,0.10,M20,-0.401,0.046,28.70,0.14,-3.60,0.17,M20
TYC 3483-856-1,10.54,0.29,M20,-0.389,0.049,28.80,0.02,-3.47,0.02,"R, S"
EPIC 210741091,10.95,0.11,M20,-0.364,0.047,28.88,0.02,-3.54,0.02,M20
EPIC 210707811,11.77,0.12,M20,-0.313,0.048,28.79,0.04,-3.34,0.05,"R, X"
GJ 3367,12.05,0.12,M20,-0.295,0.048,28.79,0.57,-3.65,0.68,M22
V2689 Ori,12.29,0.12,M20,-0.280,0.049,28.45,0.12,-3.97,0.15,"M22, R"
M37,,,,-0.280,0.050,29.11,0.22,-3.13,0.24,N16
BD+16 2708 (GJ 569 A),13.68,0.14,M20,-0.194,0.051,28.33,0.43,-3.79,0.52,"C, R, X"
StKM 1-1215,13.91,0.38,M20,-0.180,0.056,28.48,0.15,-4.03,0.18,"R, X"
DS Leo (GJ 410),14.52,0.02,1A,-0.142,0.052,28.35,0.14,-3.99,0.17,M22
Hyaeds/Praesepe,,,,-0.137,0.070,28.76,0.47,-3.58,0.49,N16
1RXS J133332.0+364153,15.36,0.15,M20,-0.090,0.054,28.82,0.22,-3.47,0.26,M20
TYC 3142-1028-1,15.65,0.43,M20,-0.072,0.060,28.67,0.28,-3.35,0.34,"R, X"
HD 11507,15.80,0.16,M20,-0.063,0.055,27.76,0.25,-4.69,0.30,M22
UCAC4 650-018148,16.14,0.16,M20,-0.041,0.055,28.50,0.18,-4.01,0.22,M20
StKM 1-1407,16.15,0.16,M20,-0.041,0.055,28.70,0.02,-3.76,0.02,M20
GJ 3942,16.30,0.45,GA19,-0.031,0.061,27.81,0.05,-4.53,0.06,"F, G"
GJ 685,16.30,0.16,M20,-0.031,0.055,27.82,0.30,-4.52,0.36,M20
GJ 338 A,16.30,2.40,GA19,-0.031,0.159,27.99,0.40,-4.53,0.48,"C, R"
G 115-72,16.61,0.17,M20,-0.012,0.056,28.49,0.08,-3.97,0.10,M20
GJ 338 B,16.61,0.04,GA19,-0.012,0.055,27.96,0.34,-4.47,0.41,"C, W"
GJ 694.2,17.30,0.17,M20,0.031,0.057,27.98,0.15,-4.36,0.18,M20
EPIC 202059231,17.43,0.17,M20,0.039,0.057,28.46,0.04,-3.66,0.05,M20
GJ 3822,18.30,0.18,M20,0.093,0.059,27.95,0.17,-4.44,0.20,M20
GJ 49,19.45,0.06,1R,0.164,0.060,27.57,0.04,-4.70,0.07,X
GJ 606,20.00,0.20,M20,0.198,0.062,27.86,0.13,-4.29,0.16,M20
1RXS J165257.4+255744,20.22,0.20,M20,0.212,0.063,28.47,0.46,-3.85,0.55,"R, X"
GJ 2,21.20,0.21,M20,0.273,0.065,27.60,0.13,-4.62,0.16,M20
GJ 720A,34.50,0.35,M20,0.517,0.074,27.71,0.74,-4.71,0.74,M22
GJ 47,34.70,0.35,M20,0.518,0.074,27.42,0.14,-4.45,0.17,M20
HD 38529c,35.90,0.36,M20,0.530,0.076,27.05,0.15,-4.97,0.18,M20
GJ 740,36.40,0.36,M20,0.534,0.077,27.45,0.14,-4.95,0.17,M20
GJ 832,38.10,0.10,1S,0.550,0.080,26.59,0.28,-5.38,0.34,"R, S, X"
EPIC 201675315,38.13,0.38,M20,0.550,0.081,26.97,0.03,-5.38,0.04,M20
HD 285968 (GJ 176),40.13,1.13,1R,0.569,0.085,27.25,0.33,-4.88,0.40,"C, R"
BD-18 359,44.51,0.45,M20,0.610,0.093,27.45,0.67,-4.65,0.67,"R, M22"
LHS 373 (GJ 552),44.90,1.20,1R,0.614,0.095,27.50,0.19,-4.68,0.23,M20
GJ 15 A,44.95,0.55,1R,0.614,0.095,26.41,0.33,-5.52,0.40,M20
GJ 752 A,46.60,0.20,1H,0.630,0.098,26.91,0.17,-5.12,0.21,R
GJ 625,51.22,0.21,1R,0.673,0.108,26.82,0.17,-4.82,0.22,R
BR Psc (GJ 908),53.70,0.80,1A,0.696,0.114,26.47,0.11,-5.48,0.13,M20
GJ 476,55.00,5.50,SM18,0.708,0.127,27.05,0.15,-4.82,0.22,GA19
HD 95735b (GJ 411),56.15,0.27,DA19,0.719,0.119,27.07,0.19,-5.05,0.23,"M20, X"
GJ 1,56.80,5.60,SM17,0.725,0.131,26.71,0.28,-5.27,0.34,R
GJ 625,60.70,0.30,1R,0.761,0.129,26.90,0.14,-4.82,0.17,M20
GJ 433,72.60,0.50,1F,0.873,0.156,26.51,0.31,-5.58,0.37,"S, M22"
