trial star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD 
rand_081 -0.140039 -2.851300 -2.016665 0.261703 
rand_082 -0.123288 -2.736884 -2.095739 0.337649 
rand_083 -0.041592 -2.989812 -1.414815 0.267591 
rand_084 -0.116894 -2.481141 -2.349622 0.363750 
rand_085 -0.159140 -2.657576 -1.593900 0.283177 
rand_086 -0.373076 -2.315010 -1.767747 0.389683 
rand_087 -0.229020 -2.555646 -2.090467 0.309712 
rand_088 -0.089381 -2.740674 -2.357577 0.336013 
rand_089 -0.180025 -2.426275 -1.687009 0.287880 
rand_090 -0.220383 -3.244119 -1.314864 0.245823 
rand_091 -0.129528 -2.942452 -1.470869 0.313820 
rand_092 -0.109685 -2.330892 -1.779060 0.199319 
rand_093 -0.119404 -2.910227 -1.522359 0.181897 
rand_094 -0.161746 -2.638440 -2.134779 0.246784 
rand_095 -0.113485 -2.613235 -1.626870 0.231954 
rand_096 -0.216684 -2.832466 -1.504249 0.230516 
rand_097 -0.164553 -3.478517 -1.403907 0.392700 
rand_098 -0.271349 -2.876373 -1.073216 0.230098 
rand_099 -0.218227 -3.348904 -1.320325 0.326970 
rand_100 -0.145049 -2.693363 -1.642886 0.292236 
rand_101 -0.181769 -2.845394 -1.615511 0.275369 
rand_102 -0.149911 -3.146138 -1.611074 0.219375 
rand_103 -0.220123 -2.893001 -1.147991 0.220112 
rand_104 -0.087290 -2.389139 -1.346637 0.203718 
rand_105 -0.116712 -3.176683 -1.978085 0.361912 
rand_106 -0.100331 -2.512776 -1.339102 0.214982 
rand_107 -0.190509 -2.668604 -1.675947 0.333117 
rand_108 -0.120066 -2.742340 -1.948221 0.334270 
rand_109 -0.105831 -2.749557 -2.149374 0.322000 
rand_110 -0.176279 -2.747901 -1.726691 0.266071 
rand_111 -0.126751 -2.466526 -2.354781 0.337600 
rand_112 -0.262183 -2.489524 -1.348269 0.328495 
rand_113 -0.136116 -2.713163 -1.994148 0.294870 
rand_114 -0.172602 -2.923011 -1.878379 0.368438 
rand_115 -0.145101 -2.758962 -2.122840 0.396810 
rand_116 -0.136269 -2.842164 -1.378121 0.308912 
rand_117 -0.150649 -3.015500 -1.588887 0.295559 
rand_118 -0.251051 -3.038246 -1.086042 0.219712 
rand_119 -0.061287 -2.567821 -2.170916 0.311929 
rand_120 -0.230237 -2.695325 -1.719036 0.393330 
rand_121 -0.254379 -3.224301 -1.275906 0.218649 
rand_122 -0.142397 -2.448726 -2.013878 0.307720 
rand_123 -0.098104 -2.523118 -1.740148 0.248943 
rand_124 -0.130548 -2.758772 -1.576699 0.266980 
rand_125 -0.107919 -2.707299 -0.870883 0.089117 
rand_126 -0.109166 -2.846966 -1.539652 0.198583 
rand_127 -0.083347 -2.949856 -1.353261 0.151455 
rand_128 -0.182913 -2.932658 -1.731833 0.292799 
rand_129 -0.084617 -2.799661 -1.602598 0.256970 
rand_130 -0.119390 -3.180061 -1.489730 0.298820 
rand_131 -0.144102 -3.216395 -1.690099 0.325735 
rand_132 -0.240944 -2.691199 -1.765840 0.246074 
rand_133 -0.110715 -3.123111 -1.431000 0.232217 
rand_134 -0.169502 -2.988386 -1.868747 0.347460 
rand_135 -0.136879 -2.855241 -1.587226 0.265714 
rand_136 -0.141932 -2.541972 -1.460587 0.196984 
rand_137 -0.146497 -3.039777 -1.274442 0.171397 
rand_138 -0.130484 -2.609012 -2.394102 0.391634 
rand_139 -0.169296 -2.596213 -2.035425 0.343745 
rand_140 -0.125619 -3.317799 -1.570719 0.299810 
rand_141 -0.077546 -2.928520 -2.115017 0.321777 
rand_142 -0.102675 -2.956175 -1.445839 0.323555 
rand_143 -0.106734 -3.102545 -1.815795 0.321393 
rand_144 -0.059192 -2.789552 -1.284007 0.162304 
rand_145 -0.097438 -2.372821 -1.795063 0.281198 
rand_146 -0.041294 -2.802425 -2.401513 0.304131 
rand_147 -0.269339 -2.336983 -1.807861 0.288375 
rand_148 -0.168803 -3.116614 -1.677810 0.288168 
rand_149 -0.189980 -3.174005 -1.340635 0.296441 
rand_150 -0.226468 -2.765690 -1.004734 0.190180 
rand_151 -0.159389 -2.691610 -2.623641 0.415167 
rand_152 -0.267967 -2.726567 -1.329741 0.240880 
rand_153 -0.204071 -2.498002 -1.440800 0.359686 
rand_154 -0.251808 -3.381363 -1.268321 0.356455 
rand_155 -0.092228 -2.787253 -1.644802 0.330594 
rand_156 -0.213575 -2.863034 -2.128281 0.364335 
rand_157 -0.135761 -2.778648 -1.743543 0.324443 
rand_158 -0.245130 -2.264336 -2.162794 0.363400 
rand_159 -0.163597 -3.034954 -2.097672 0.347901 
rand_160 -0.221880 -3.034077 -1.453929 0.338319 
rand_161 -0.151570 -3.434609 -1.304829 0.332239 
rand_162 -0.095844 -3.144020 -1.274629 0.235932 
rand_163 -0.131328 -2.852078 -1.233441 0.281976 
rand_164 -0.091439 -3.287204 -1.463075 0.266004 
rand_165 -0.116923 -2.988148 -1.624744 0.353420 
rand_166 -0.180231 -3.088926 -2.358434 0.350513 
rand_167 -0.066994 -2.502502 -1.951794 0.239969 
rand_168 -0.185267 -3.250858 -1.540903 0.364577 
rand_169 -0.135246 -2.335534 -1.653838 0.250755 
rand_170 -0.235090 -2.643030 -1.574658 0.335758 
rand_171 -0.108471 -2.816427 -1.145699 0.168457 
rand_172 -0.055075 -3.136881 -1.887498 0.261128 
rand_173 -0.090936 -3.293372 -1.405894 0.200301 
rand_174 -0.072418 -2.615733 -2.142308 0.339941 
rand_175 -0.331233 -2.171145 -1.797311 0.343886 
rand_176 -0.172948 -2.389005 -2.472675 0.338688 
rand_177 -0.387912 -2.980860 -1.502021 0.352936 
rand_178 -0.167046 -2.519234 -1.668508 0.287658 
rand_179 -0.098431 -2.717706 -1.979390 0.214234 
rand_180 -0.066653 -2.881673 -1.464325 0.220752 
rand_181 -0.169624 -2.749407 -1.545840 0.331284 
rand_182 -0.265350 -3.283858 -1.074540 0.352074 
rand_183 -0.069167 -3.338852 -1.216092 0.127244 
rand_184 -0.157933 -3.011028 -1.513718 0.289785 
rand_185 -0.094807 -2.786739 -2.032029 0.290506 
rand_186 -0.124665 -2.798908 -1.586221 0.311703 
rand_187 -0.061846 -2.473633 -1.592585 0.250960 
rand_188 -0.089037 -2.969958 -1.961099 0.275207 
rand_189 -0.277316 -2.965004 -1.532018 0.313832 
rand_190 -0.133905 -2.668595 -1.551717 0.270823 
rand_191 -0.146827 -3.045112 -1.310301 0.274750 
rand_192 -0.162118 -2.646308 -1.996275 0.311203 
rand_193 -0.177994 -3.333228 -1.297247 0.354164 
rand_194 -0.103114 -2.673802 -2.105669 0.334832 
rand_195 -0.180250 -2.534521 -1.459419 0.282956 
rand_196 -0.287065 -2.633438 -1.694418 0.386998 
rand_197 -0.170688 -2.802224 -1.539318 0.289371 
rand_198 -0.191313 -2.020130 -1.539177 0.239259 
rand_199 -0.059786 -2.784294 -1.452528 0.261502 
rand_200 -0.124434 -2.683062 -1.948773 0.368776 
rand_201 -0.093194 -3.432385 -1.481576 0.256679 
rand_202 -0.358180 -2.987228 -1.928753 0.444547 
rand_203 -0.163666 -2.871923 -1.812638 0.367983 
rand_204 -0.174754 -2.690992 -1.940431 0.293708 
rand_205 -0.113818 -2.548662 -1.679491 0.200315 
rand_206 -0.030016 -3.343447 -2.014929 0.270682 
rand_207 -0.162448 -2.830542 -1.771244 0.277497 
rand_208 -0.242594 -2.674263 -1.221111 0.259851 
rand_209 -0.106710 -2.433360 -1.635209 0.177182 
rand_210 -0.165996 -2.674470 -1.751945 0.237266 
rand_211 -0.109535 -2.083862 -2.125184 0.303686 
rand_212 -0.105473 -2.645294 -1.547580 0.163145 
rand_213 -0.183599 -2.692406 -1.297175 0.226557 
rand_214 -0.158399 -2.991670 -1.180518 0.226773 
rand_215 -0.140990 -2.561807 -1.443143 0.240668 
rand_216 -0.165551 -3.226066 -1.478455 0.332587 
rand_217 -0.222616 -3.118375 -1.511312 0.311046 
rand_218 -0.023385 -3.032539 -1.721180 0.257969 
rand_219 -0.135951 -2.705579 -1.829120 0.302348 
rand_220 -0.180412 -2.832291 -1.009962 0.301044 
rand_221 -0.004890 -2.649102 -1.633869 0.193743 
rand_222 -0.066568 -2.864505 -1.567534 0.190406 
rand_223 -0.169232 -3.034250 -1.219588 0.328988 
rand_224 -0.079886 -2.525869 -2.085464 0.321485 
rand_225 -0.045204 -2.681743 -1.668303 0.278551 
rand_226 -0.168469 -2.325892 -1.113926 0.169336 
rand_227 -0.218539 -3.202563 -2.175808 0.385742 
rand_228 -0.115585 -2.398575 -1.945578 0.235465 
rand_229 -0.078819 -2.556617 -2.296324 0.239969 
rand_230 -0.096509 -2.867252 -1.708423 0.253452 
rand_231 -0.278299 -3.207813 -1.298548 0.206006 
rand_232 -0.222337 -2.560266 -1.458401 0.331093 
rand_233 -0.192405 -2.577586 -1.945179 0.315841 
rand_234 -0.217402 -2.523600 -1.625926 0.358532 
rand_235 -0.105563 -2.793708 -2.062123 0.322164 
rand_236 -0.183981 -3.150255 -1.231818 0.198948 
rand_237 -0.055609 -3.189820 -1.833457 0.245568 
rand_238 -0.258480 -2.729723 -1.555985 0.370145 
rand_239 -0.171081 -2.805327 -1.929647 0.305994 
rand_240 -0.135935 -2.801101 -1.435439 0.286344 
rand_241 -0.099581 -2.910731 -1.083416 0.271805 
rand_242 -0.123600 -2.550633 -1.312195 0.188954 
rand_243 -0.173801 -2.603028 -1.341671 0.301608 
rand_244 -0.134987 -2.911714 -1.572901 0.314533 
rand_245 -0.015759 -2.789926 -1.656610 0.149886 
rand_246 -0.159910 -2.684285 -1.661233 0.374620 
rand_247 -0.125889 -2.761986 -1.869837 0.251531 
rand_248 0.023343 -2.666916 -1.961052 0.234150 
rand_249 -0.241907 -2.816638 -1.327301 0.281749 
rand_250 -0.178557 -2.428075 -1.321262 0.365469 
rand_251 -0.172217 -3.112643 -1.083095 0.224135 
rand_252 -0.139170 -3.125386 -1.466577 0.318729 
rand_253 -0.110776 -2.410268 -1.800054 0.287202 
rand_254 -0.066944 -2.607907 -1.775852 0.314833 
rand_255 -0.101670 -2.361728 -2.176792 0.225191 
rand_256 -0.085494 -2.498282 -1.562256 0.185060 
rand_257 -0.098419 -2.805586 -1.838756 0.230329 
rand_258 -0.123718 -2.696545 -1.297539 0.203122 
rand_259 -0.135254 -2.237899 -1.521000 0.227608 
rand_260 -0.183899 -3.298571 -1.497309 0.397090 
rand_261 -0.171730 -2.762734 -1.243560 0.227493 
rand_262 -0.171746 -2.772818 -1.820358 0.357085 
rand_263 -0.146458 -2.289630 -2.012096 0.330804 
rand_264 -0.170907 -2.848514 -1.536926 0.212620 
rand_265 -0.100238 -2.669751 -1.366537 0.301231 
rand_266 -0.162048 -2.515531 -1.755984 0.377386 
rand_267 -0.032433 -2.949044 -2.064945 0.174539 
rand_268 -0.139228 -3.307075 -2.040949 0.358478 
rand_269 -0.286258 -2.591479 -1.703105 0.324712 
rand_270 -0.112410 -2.639905 -1.560877 0.276482 
rand_271 -0.126375 -2.840386 -1.510951 0.226477 
rand_272 -0.109398 -2.533017 -1.780207 0.275951 
rand_273 -0.130740 -2.268952 -1.586748 0.227260 
rand_274 -0.287480 -2.111992 -1.624983 0.339555 
rand_275 -0.142615 -2.949277 -1.387596 0.302359 
rand_276 -0.272778 -2.465614 -1.207359 0.294866 
rand_277 -0.127284 -2.869602 -1.716237 0.309574 
rand_278 -0.167562 -3.197648 -2.083187 0.394409 
rand_279 -0.166344 -2.444410 -1.445902 0.278025 
rand_280 -0.178362 -2.719726 -1.741944 0.295936 
rand_281 -0.181959 -3.054677 -1.806932 0.307204 
rand_282 -0.202303 -2.757644 -1.801696 0.352897 
rand_283 -0.365412 -2.768572 -1.260199 0.331345 
rand_284 -0.060339 -2.598217 -2.210591 0.270022 
rand_285 -0.141734 -2.573221 -1.906924 0.302348 
rand_286 -0.189913 -2.714047 -2.076628 0.326558 
rand_287 -0.137019 -2.960992 -1.714235 0.269111 
rand_288 -0.126684 -2.906991 -1.617762 0.299977 
rand_289 -0.119173 -3.006128 -1.928948 0.347716 
rand_290 -0.224489 -2.664699 -1.968499 0.296295 
rand_291 -0.120555 -2.911696 -1.325035 0.091145 
rand_292 -0.161362 -2.691707 -2.665594 0.409752 
rand_293 -0.268637 -3.021296 -1.223034 0.330105 
rand_294 -0.134541 -3.014553 -1.754531 0.291047 
rand_295 -0.206308 -2.663399 -1.562736 0.287557 
rand_296 -0.291003 -2.915421 -1.216673 0.357379 
rand_297 -0.088045 -2.614037 -1.349166 0.267793 
rand_298 -0.143466 -2.547508 -1.756987 0.206763 
rand_299 -0.259159 -3.213890 -1.144998 0.323583 
rand_300 -0.173794 -2.780521 -1.722532 0.314812 
rand_301 -0.111938 -2.957708 -1.243151 0.184429 
rand_302 -0.192428 -3.024566 -1.599067 0.291522 
rand_303 -0.053775 -2.945717 -1.381062 0.166553 
rand_304 -0.108766 -2.508346 -1.711224 0.257392 
rand_305 -0.199021 -3.133218 -1.461376 0.389455 
rand_306 -0.201658 -2.538938 -1.342729 0.157590 
rand_307 -0.162221 -3.136572 -1.667607 0.361201 
rand_308 -0.127228 -2.831431 -1.564785 0.231969 
rand_309 -0.213921 -3.080039 -2.050504 0.395902 
rand_310 -0.296328 -2.699087 -1.452182 0.239812 
rand_311 -0.100642 -2.564375 -1.505132 0.299875 
rand_312 -0.157452 -3.218320 -0.979070 0.194862 
rand_313 -0.052447 -2.800266 -2.216054 0.334260 
rand_314 -0.171575 -3.081083 -1.818549 0.357085 
rand_315 -0.168395 -2.753297 -1.404220 0.253080 
rand_316 -0.165701 -2.737676 -1.939679 0.353858 
rand_317 -0.273685 -3.040937 -1.473760 0.444547 
rand_318 -0.252205 -2.826381 -1.667655 0.281836 
rand_319 -0.099377 -3.086407 -1.836706 0.403564 
rand_320 -0.104736 -2.530565 -1.474875 0.168608 
rand_321 -0.159668 -2.698794 -0.960921 0.126120 
rand_322 -0.128788 -2.583353 -1.169785 0.162096 
rand_323 -0.125462 -3.009692 -1.909886 0.285314 
rand_324 -0.155057 -3.202859 -1.582262 0.280275 
rand_325 -0.189211 -2.933440 -1.282196 0.251666 
rand_326 -0.086795 -2.480354 -1.975930 0.301577 
rand_327 -0.223190 -3.477579 -2.058323 0.453986 
rand_328 -0.103534 -2.693013 -2.015569 0.365026 
rand_329 -0.252780 -2.744717 -1.483676 0.258195 
rand_330 -0.135341 -2.926702 -1.882753 0.273557 
rand_331 -0.225259 -2.801304 -1.894886 0.316792 
rand_332 -0.078878 -2.498786 -1.675741 0.275306 
rand_333 -0.196900 -3.201994 -1.489479 0.356650 
rand_334 -0.123676 -2.659763 -1.532396 0.251452 
rand_335 -0.053420 -3.058288 -2.171898 0.344671 
rand_336 -0.180133 -2.400146 -1.723602 0.313667 
rand_337 -0.315588 -3.336122 -1.577352 0.358118 
rand_338 -0.154634 -3.001964 -1.684771 0.217523 
rand_339 -0.161379 -2.995841 -1.136509 0.160610 
rand_340 -0.152824 -2.806028 -1.566219 0.362491 
rand_341 -0.116445 -2.677045 -1.294887 0.203819 
rand_342 -0.048569 -2.621258 -1.931855 0.258944 
rand_343 -0.156664 -2.732421 -2.130087 0.323561 
rand_344 -0.081005 -2.784488 -1.336074 0.162294 
rand_345 -0.041552 -2.211193 -2.071286 0.290760 
rand_346 -0.132240 -2.747418 -1.961468 0.276030 
rand_347 -0.061245 -2.586789 -2.063872 0.336068 
rand_348 -0.136671 -2.898506 -2.219852 0.397309 
rand_349 -0.086060 -3.107082 -1.743194 0.334104 
rand_350 -0.098028 -2.901209 -2.104103 0.277348 
rand_351 -0.115269 -2.741340 -1.199165 0.108434 
rand_352 -0.105773 -2.318891 -2.245669 0.322139 
rand_353 -0.149209 -2.649118 -1.517299 0.274662 
rand_354 -0.037981 -2.956791 -1.127520 0.103872 
rand_355 -0.137541 -2.724029 -1.183416 0.223102 
rand_356 -0.071444 -2.666076 -2.111275 0.360785 
rand_357 -0.217407 -2.933938 -1.261327 0.285058 
rand_358 -0.183821 -3.326025 -1.618652 0.329055 
rand_359 -0.082490 -2.520750 -1.736535 0.315220 
rand_360 -0.224529 -3.181023 -0.928088 0.234491 
rand_361 -0.130204 -3.036754 -1.093898 0.220785 
rand_362 -0.041892 -2.557649 -1.470186 0.251634 
rand_363 -0.212449 -3.087874 -1.666360 0.216040 
rand_364 -0.236377 -2.568212 -1.562277 0.299435 
rand_365 -0.128118 -2.821581 -1.354097 0.290321 
rand_366 -0.126652 -2.890539 -1.633659 0.308953 
rand_367 -0.110314 -2.954854 -1.684210 0.311526 
rand_368 -0.133936 -2.686075 -1.374967 0.201436 
rand_369 -0.220050 -2.778145 -1.475049 0.267848 
rand_370 -0.133362 -2.881565 -1.275925 0.171211 
rand_371 0.053482 -2.869363 -1.869287 0.222283 
rand_372 -0.122069 -2.177134 -2.019162 0.281451 
rand_373 -0.055606 -2.965538 -1.974637 0.274323 
rand_374 -0.145934 -2.685284 -1.624373 0.305554 
rand_375 -0.242513 -2.292438 -2.124295 0.328930 
rand_376 -0.127114 -2.835344 -1.953985 0.365874 
rand_377 -0.226642 -2.829187 -1.894071 0.305605 
rand_378 -0.199022 -2.099990 -2.065642 0.313819 
rand_379 -0.218901 -2.575828 -1.418056 0.294234 
rand_380 -0.200728 -2.820098 -2.543536 0.350944 
rand_381 -0.103152 -2.726530 -1.225990 0.141844 
rand_382 -0.368722 -2.820297 -1.587736 0.319942 
rand_383 -0.231888 -2.426823 -2.614596 0.407082 
rand_384 -0.349744 -2.727073 -1.912879 0.366465 
rand_385 -0.163238 -2.624916 -1.785038 0.320432 
rand_386 -0.217897 -2.614163 -1.804489 0.343328 
rand_387 -0.044717 -2.992197 -1.758589 0.283521 
rand_388 -0.158535 -2.825629 -1.202873 0.185179 
rand_389 -0.108046 -2.284013 -2.493183 0.375124 
rand_390 -0.151596 -2.776057 -2.104837 0.352933 
rand_391 -0.340271 -2.642553 -1.363520 0.369087 
rand_392 -0.226743 -2.903191 -1.414543 0.356355 
rand_393 -0.089679 -3.422037 -1.822965 0.287468 
rand_394 -0.176065 -2.420437 -1.743993 0.299748 
rand_395 -0.163224 -2.971202 -1.529746 0.257768 
rand_396 -0.095883 -2.922707 -1.841724 0.306694 
rand_397 -0.086478 -2.462733 -1.961792 0.258761 
rand_398 -0.131947 -2.831275 -2.021001 0.325059 
rand_399 -0.106671 -2.574426 -1.939323 0.298278 
rand_400 -0.190998 -2.798757 -1.874542 0.285831 
rand_401 -0.248581 -2.512881 -2.051631 0.374039 
rand_402 -0.183178 -2.940002 -1.546058 0.315922 
rand_403 -0.221076 -2.051591 -1.386753 0.206031 
rand_404 -0.159784 -2.876312 -1.671317 0.236265 
rand_405 -0.088344 -2.954841 -1.697370 0.205634 
rand_406 -0.130176 -3.330777 -1.803810 0.284742 
rand_407 -0.156009 -3.061909 -1.362753 0.267848 
rand_408 -0.245519 -2.913661 -2.118745 0.359972 
rand_409 -0.101688 -3.005700 -1.529977 0.276337 
rand_410 -0.232790 -2.693480 -1.418600 0.263404 
rand_411 -0.066835 -2.760907 -1.422931 0.241878 
rand_412 -0.303367 -3.063382 -1.604600 0.368257 
rand_413 -0.118232 -2.871417 -2.097939 0.340502 
rand_414 -0.150370 -2.895594 -1.239286 0.263368 
rand_415 -0.129935 -2.927348 -1.825529 0.327201 
rand_416 -0.126374 -3.172968 -1.820487 0.376883 
rand_417 -0.161336 -2.815191 -1.468797 0.274568 
rand_418 -0.131878 -2.405854 -1.837683 0.309434 
rand_419 -0.102721 -2.626794 -1.998467 0.289329 
rand_420 -0.089376 -3.090151 -2.206341 0.283728 
rand_421 -0.092615 -2.811252 -2.143325 0.306553 
rand_422 -0.254673 -2.952634 -1.606920 0.311215 
rand_423 -0.161272 -3.057444 -2.204877 0.298766 
rand_424 -0.105188 -2.175329 -1.277347 0.249159 
rand_425 -0.092033 -2.879819 -2.242598 0.380197 
rand_426 -0.149901 -2.624065 -1.695506 0.260116 
rand_427 -0.245598 -2.419315 -1.183912 0.307861 
rand_428 -0.224415 -3.171134 -1.607474 0.300716 
rand_429 -0.117661 -2.926935 -1.688672 0.235262 
rand_430 -0.125652 -2.947687 -1.142192 0.275408 
rand_431 -0.247167 -3.114321 -1.382896 0.341625 
rand_432 -0.159803 -2.581092 -1.600751 0.290616 
rand_433 -0.036008 -2.460900 -2.518340 0.300074 
rand_434 -0.213300 -2.827407 -1.395791 0.300486 
rand_435 -0.101764 -3.067438 -1.293405 0.156039 
rand_436 -0.247005 -2.442794 -1.438220 0.243627 
rand_437 -0.108865 -2.927007 -1.970172 0.293515 
rand_438 -0.228828 -2.830419 -1.309073 0.268983 
rand_439 -0.226048 -2.780250 -1.862447 0.345763 
rand_440 -0.011629 -2.806546 -2.548560 0.296091 
rand_441 -0.248857 -2.752576 -1.385601 0.335362 
rand_442 -0.139050 -2.391722 -2.377128 0.312931 
rand_443 -0.213737 -3.156230 -0.990212 0.366815 
rand_444 -0.234214 -2.750482 -1.656475 0.367119 
rand_445 -0.234058 -2.688195 -1.675136 0.362024 
rand_446 -0.199336 -2.786403 -1.696485 0.326844 
rand_447 -0.256258 -2.728222 -1.736150 0.354604 
rand_448 -0.168343 -2.819866 -1.789314 0.314974 
rand_449 -0.228384 -2.101190 -1.601056 0.394459 
rand_450 -0.081605 -2.628628 -1.445356 0.247516 
rand_451 -0.047515 -2.589256 -1.768055 0.271429 
rand_452 -0.214568 -2.335010 -2.154247 0.332037 
rand_453 -0.097767 -2.224702 -2.159038 0.313548 
rand_454 -0.258586 -3.315261 -2.097888 0.358771 
rand_455 -0.149803 -2.849392 -1.190295 0.181142 
rand_456 -0.235198 -2.796741 -1.333185 0.316748 
rand_457 -0.090302 -2.904915 -1.686766 0.276891 
rand_458 -0.171969 -2.449555 -1.992378 0.371077 
rand_459 -0.126715 -2.673948 -1.777551 0.237624 
rand_460 -0.031050 -2.574177 -1.603626 0.273856 
rand_461 -0.202686 -2.498217 -1.154623 0.209096 
rand_462 -0.154415 -3.141817 -1.254899 0.288772 
rand_463 -0.190737 -2.855081 -1.786134 0.354325 
rand_464 -0.187579 -2.657628 -1.900060 0.305044 
rand_465 -0.062828 -2.497627 -1.697024 0.246646 
rand_466 -0.065535 -2.875472 -1.134535 0.086840 
rand_467 -0.101687 -2.776523 -1.543509 0.280998 
rand_468 -0.109743 -2.376690 -1.547255 0.228923 
rand_469 -0.106943 -3.163087 -1.056398 0.177631 
rand_470 -0.021944 -2.618350 -1.967322 0.216830 
rand_471 -0.228452 -3.335546 -1.295816 0.354235 
rand_472 -0.206567 -2.530611 -1.732713 0.349814 
rand_473 -0.103604 -3.122715 -2.042722 0.318741 
rand_474 -0.106812 -1.977587 -2.219194 0.384545 
rand_475 -0.088386 -3.154593 -1.777450 0.344840 
rand_476 -0.185365 -2.542657 -2.017273 0.368438 
rand_477 -0.357578 -3.184994 -1.608454 0.353097 
