trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta vpl/dStopTime 
rand_023 -1.667357 -1.123989 0.002347 -1.628908 0.190564 0.000838 986612699.072910 1.354696 7118174256.727751 
rand_024 -1.641688 -1.100612 0.003419 -1.628950 0.190234 0.000465 772506143.657718 1.273491 5640542232.069682 
rand_025 -1.649711 -1.180202 0.001600 -1.628953 0.197541 0.001064 596556066.024979 1.297360 8582309205.353150 
rand_026 -1.656821 -1.107743 0.002565 -1.628917 0.197496 0.000335 2847955185.284208 1.553399 7190007302.644424 
rand_027 -1.685887 -1.135350 0.009673 -1.628931 0.198802 0.000569 165515700.665236 0.670472 6713477091.307517 
rand_028 -1.659389 -1.144865 0.003795 -1.628945 0.191838 0.001102 694738572.260275 1.221584 7034390785.253336 
rand_029 -1.661208 -1.145436 0.004592 -1.628909 0.206058 0.002070 623661171.849792 1.342862 8095687241.282948 
rand_030 -1.654890 -1.155998 0.013407 -1.628946 0.195620 0.001252 946640919.127803 1.434714 8085402124.753014 
rand_031 -1.669891 -1.142282 0.005634 -1.628990 0.188631 0.004274 198240745.214817 1.202341 6749168207.053287 
rand_032 -1.647975 -1.151595 0.005461 -1.628895 0.191819 0.000850 687632739.760368 1.176238 6977316882.764498 
rand_033 -1.667971 -1.126396 0.005064 -1.628953 0.189318 0.000688 1293196995.188706 1.566017 6980737238.008245 
rand_034 -1.650130 -1.118201 0.000005 -1.628950 0.196190 0.000275 1832260847.489300 1.021499 5598236484.074474 
rand_035 -1.641691 -1.135131 0.000643 -1.628950 0.195702 0.000700 353700102.166083 1.039675 6032890895.141535 
rand_036 -1.672296 -1.100006 0.008961 -1.628929 0.188599 0.001167 364139929.672313 1.082441 8189378547.976109 
rand_037 -1.677760 -1.140968 0.000221 -1.628938 0.199315 0.000194 4616588790.771757 1.327131 8287325404.302088 
rand_038 -1.649044 -1.136177 0.009523 -1.628904 0.197079 0.000270 2280570896.283019 1.464309 6382325603.093849 
rand_039 -1.690385 -1.139459 0.000804 -1.628887 0.197601 0.001112 797487897.732893 1.212998 8143349482.098797 
rand_040 -1.634432 -1.118028 0.003665 -1.628949 0.189601 0.000649 1764637639.039329 1.498153 7835765562.467697 
rand_041 -1.659748 -1.116009 0.002284 -1.628956 0.202040 0.001807 745952801.561200 1.550464 7426192653.321646 
rand_042 -1.662639 -1.120093 0.002958 -1.628945 0.189818 0.002100 1104137305.902101 1.650596 7734767873.711595 
rand_043 -1.647442 -1.132482 0.013008 -1.628919 0.190326 0.001800 831847526.945792 1.473825 7681923408.910116 
rand_044 -1.648869 -1.156812 0.000153 -1.628934 0.187528 0.001414 399214524.098426 1.002008 8081076298.823377 
rand_045 -1.659850 -1.136389 0.003665 -1.628945 0.196696 0.001228 921277659.045591 1.504801 6341123314.276297 
rand_046 -1.639792 -1.100437 0.006723 -1.628966 0.192205 0.000515 1394091680.891399 0.976236 7958045603.332266 
rand_047 -1.675465 -1.109735 0.003397 -1.628991 0.193929 0.000754 1210080536.738437 1.468947 6358494191.021089 
rand_048 -1.643616 -1.124119 0.002917 -1.628958 0.200148 0.001386 1023547394.864715 1.365815 6921224914.315120 
rand_049 -1.684808 -1.137689 0.008041 -1.628897 0.194127 0.000858 854157381.227311 0.863466 7969184041.329699 
rand_050 -1.648255 -1.130272 0.003225 -1.628919 0.191986 0.000630 1088131920.704361 1.659958 6691245731.649755 
rand_051 -1.667541 -1.137600 0.000818 -1.628936 0.188525 0.000516 1331931193.434823 1.262603 6755981194.102624 
rand_052 -1.690155 -1.106139 0.002968 -1.628911 0.190220 0.001202 726448842.205256 1.131030 8652725219.479937 
rand_053 -1.654097 -1.146779 0.008289 -1.628966 0.190693 0.000685 155188188.611269 0.691602 6172810565.123426 
rand_054 -1.660792 -1.111527 0.001698 -1.628929 0.187180 0.001285 881301980.500044 1.131658 9069844987.891905 
rand_055 -1.695483 -1.140584 0.000671 -1.628979 0.195911 0.000432 1561700370.852021 0.879243 8355921375.133986 
rand_056 -1.708614 -1.103581 0.000315 -1.628922 0.189393 0.001049 1069374007.193877 1.569584 7097506097.921084 
rand_057 -1.663502 -1.121464 0.008057 -1.628924 0.197389 0.000352 929307597.201544 0.982071 6803798422.467840 
rand_058 -1.622781 -1.144988 0.000694 -1.628923 0.198439 0.000886 427591735.550118 1.079522 6410762311.276470 
rand_059 -1.652617 -1.136186 0.007135 -1.628899 0.192466 0.000913 1199081819.463218 1.210098 8450806930.739187 
rand_060 -1.675371 -1.115767 0.002105 -1.628910 0.198461 0.000620 569898910.304484 0.677575 7705647017.261229 
rand_061 -1.635117 -1.139983 0.004185 -1.628964 0.193516 0.000529 1019405327.668165 1.039991 6094302950.334878 
rand_062 -1.639134 -1.129557 0.001685 -1.628899 0.196661 0.000957 917981461.672856 1.606632 6578351118.819788 
rand_063 -1.630754 -1.140259 0.002920 -1.628937 0.191031 0.000341 2533175211.017230 0.892800 5633566140.848874 
rand_064 -1.644270 -1.094818 0.002580 -1.628984 0.201166 0.001565 996030676.533861 1.661553 6966029792.102883 
rand_065 -1.639624 -1.091379 0.002478 -1.628934 0.193275 0.002366 609557373.576582 1.451945 7614417840.016093 
rand_066 -1.643185 -1.100738 0.001728 -1.628914 0.197285 0.001350 369049074.069870 1.216977 7378663224.308131 
rand_067 -1.670983 -1.132487 0.001671 -1.628958 0.188596 0.001335 563429392.659091 1.274382 6524166506.785860 
rand_068 -1.697657 -1.138055 0.003099 -1.628895 0.189791 0.001472 761894715.200619 1.343018 7472372689.000492 
rand_069 -1.671986 -1.145583 0.005283 -1.628956 0.196094 0.000812 826636574.885340 1.190033 7386003385.015860 
rand_070 -1.634586 -1.099286 0.004532 -1.628944 0.193712 0.000149 3080483671.803329 0.865684 9232951091.092409 
rand_071 -1.668763 -1.111386 0.008407 -1.628949 0.195066 0.000705 243234855.629984 0.701087 7635079049.956388 
rand_072 -1.663346 -1.110425 0.001927 -1.628977 0.200067 0.001248 397591047.480253 1.083803 7659253000.610013 
rand_073 -1.686813 -1.134999 0.003365 -1.628958 0.190245 0.000755 720045455.557688 1.026555 7616560574.547183 
rand_074 -1.672675 -1.165158 0.004975 -1.628950 0.197762 0.000586 817728383.714800 0.929941 6750890636.641810 
rand_075 -1.660209 -1.160559 0.000569 -1.628935 0.189070 0.000514 2097608554.206170 1.936186 7286184084.292755 
rand_076 -1.648671 -1.128847 0.005919 -1.629012 0.199054 0.001083 415179891.778040 0.999250 5831656891.455744 
rand_077 -1.670549 -1.140453 0.002656 -1.628912 0.196629 0.000826 342080060.520395 0.814963 8211517509.005096 
rand_078 -1.672156 -1.142754 0.003754 -1.628912 0.185710 0.001411 189413189.154074 0.897886 7039937857.213507 
rand_079 -1.640630 -1.123097 0.006244 -1.628899 0.199430 0.002209 1393753019.018704 1.668316 11823551170.591715 
rand_080 -1.652519 -1.109727 0.002090 -1.628971 0.200019 0.002067 1249047711.231565 1.887981 6930475732.138699 
rand_081 -1.649681 -1.144025 0.007021 -1.628939 0.191289 0.000229 2287926507.057950 1.418986 7259406335.419507 
rand_082 -1.624849 -1.156112 0.003540 -1.628906 0.189116 0.001085 535767009.886007 1.250907 7184244179.834260 
rand_083 -1.671617 -1.143549 0.003440 -1.628903 0.197193 0.000534 1314968614.046782 1.614914 7382231388.383409 
rand_084 -1.661127 -1.150879 0.004908 -1.628891 0.194149 0.001014 512272946.564084 1.115518 8822953444.273556 
rand_085 -1.647323 -1.118143 0.008831 -1.628928 0.191385 0.002204 996240131.570918 1.772642 8818844236.050243 
rand_086 -1.680045 -1.130082 0.004430 -1.628933 0.197223 0.001022 729627782.196281 1.370194 6419093879.042982 
rand_087 -1.654732 -1.092390 0.003869 -1.628973 0.202286 0.000717 1112067774.433228 1.224541 6446341026.089064 
rand_088 -1.659489 -1.115306 0.003485 -1.628902 0.189284 0.000882 731177918.928814 1.115254 10946243044.223686 
rand_089 -1.596122 -1.093723 0.001396 -1.628943 0.199107 0.001694 857168839.792618 1.412361 6671792874.955226 
rand_090 -1.657703 -1.158078 0.000977 -1.628930 0.190207 0.000894 391824979.882496 0.909423 8036877999.072072 
rand_091 -1.633390 -1.195057 0.002021 -1.628932 0.187036 0.001144 2411459869.923343 1.647866 8311894325.635286 
rand_092 -1.640911 -1.125140 0.008412 -1.628996 0.199200 0.000343 3018997495.960065 1.534940 6564284352.910672 
rand_093 -1.686601 -1.127536 0.007541 -1.628953 0.197253 0.001114 1433983653.041279 1.581922 6083468250.892050 
rand_094 -1.695623 -1.132456 0.005904 -1.628919 0.196757 0.000991 647032431.209290 1.141137 5753705425.416499 
rand_095 -1.654319 -1.128084 0.002062 -1.628932 0.193062 0.000558 921104552.781972 1.249910 7070092375.251505 
rand_096 -1.631081 -1.152481 0.004492 -1.628919 0.191831 0.000196 1083049246.180451 0.738699 6752965993.299170 
rand_097 -1.653378 -1.118736 0.006911 -1.628910 0.198963 0.000579 1243548116.239342 1.332853 7077072808.792749 
rand_098 -1.658186 -1.115276 0.002056 -1.628953 0.197364 0.000329 2731544702.278310 1.280259 7760976170.445866 
rand_099 -1.666534 -1.153995 0.000777 -1.628945 0.188289 0.000840 952567288.180291 1.291332 7037524991.256612 
rand_100 -1.690451 -1.137073 0.005877 -1.628935 0.192327 0.001712 267371022.424487 1.108834 8570846594.349458 
rand_101 -1.682092 -1.135837 0.005555 -1.628910 0.189434 0.001295 1168328158.160791 1.419765 9182005323.497847 
rand_102 -1.697313 -1.143416 0.004212 -1.628937 0.198410 0.001357 258486619.371368 1.184676 6287887663.319623 
rand_103 -1.685370 -1.153222 0.007798 -1.628979 0.201343 0.000531 923250872.590770 1.044765 7763414596.968242 
rand_104 -1.672098 -1.129750 0.003794 -1.628936 0.189600 0.000552 986346277.728102 1.286655 6948092073.273242 
rand_105 -1.642152 -1.124784 0.000968 -1.628911 0.191018 0.001515 997422941.444397 1.487006 7053869705.450002 
rand_106 -1.670237 -1.142204 0.001597 -1.628894 0.202870 0.000792 1624317243.408072 1.625311 6882995704.078157 
rand_107 -1.654121 -1.151816 0.007515 -1.628923 0.196670 0.000628 1046113585.349272 1.185173 6889855141.790270 
rand_108 -1.656890 -1.121789 0.006876 -1.628971 0.188574 0.000912 466337825.871419 1.143524 8050578580.930058 
rand_109 -1.648522 -1.145346 0.000396 -1.628942 0.191307 0.001368 1783148529.904339 2.006253 7594631429.528919 
rand_110 -1.683801 -1.136184 0.000506 -1.628918 0.187020 0.001252 697169972.718129 1.332797 6932427441.722727 
rand_111 -1.635639 -1.138722 0.007944 -1.628908 0.195608 0.000730 2260455192.088623 1.631638 7625698099.864348 
rand_112 -1.692365 -1.105086 0.005245 -1.628917 0.195400 0.000573 2499538225.192135 1.464346 8522570881.818027 
rand_113 -1.670300 -1.144429 0.006213 -1.628938 0.193219 0.000570 1035210902.969531 1.374696 8484466023.255912 
rand_114 -1.660481 -1.095489 0.002248 -1.628908 0.193430 0.002155 431693008.708740 1.384614 7213509674.462024 
rand_115 -1.642517 -1.114954 0.002097 -1.628948 0.189746 0.001463 650127233.144602 1.442981 7739187417.612560 
rand_116 -1.628276 -1.093582 0.004075 -1.628926 0.196355 0.000992 679150892.434516 1.315260 7290049779.313005 
rand_117 -1.642335 -1.116707 0.003080 -1.628911 0.201609 0.000376 1887131222.425713 1.404291 7903031867.170238 
rand_118 -1.627434 -1.134421 0.000942 -1.628915 0.193072 0.001319 376928027.072887 1.239582 8439027293.699793 
rand_119 -1.679071 -1.148347 0.003790 -1.628915 0.186995 0.001349 1038073528.969569 1.740858 5785302831.459411 
rand_120 -1.632621 -1.137108 0.001210 -1.628916 0.198705 0.001241 1089000584.276638 1.550226 6531954500.712285 
rand_121 -1.636571 -1.100254 0.017121 -1.628959 0.191716 0.001046 916417815.501698 1.382426 7346810428.198427 
rand_122 -1.715114 -1.130959 0.003560 -1.628931 0.190594 0.000771 867975506.142067 1.232139 7122942564.297410 
rand_123 -1.665071 -1.116782 0.002994 -1.628956 0.187736 0.000402 1262238775.651181 0.941251 5595471746.862967 
rand_124 -1.646153 -1.125861 0.010647 -1.628939 0.186554 0.000625 2445959974.267560 1.345919 6751047666.541841 
rand_125 -1.671855 -1.125007 0.004433 -1.628963 0.195882 0.001339 768015928.833158 1.167459 7035630410.624275 
rand_126 -1.684974 -1.124237 0.002602 -1.628922 0.194884 0.001032 528072131.157729 1.131117 7861393175.098965 
rand_127 -1.611374 -1.120093 0.000760 -1.628984 0.200578 0.000473 479998859.786915 1.001935 6881441068.129544 
rand_128 -1.657446 -1.146282 0.005671 -1.628914 0.202249 0.000766 281077163.585898 0.818477 6117021549.165442 
rand_129 -1.656817 -1.135498 0.001018 -1.628931 0.192761 0.001122 635159590.290867 1.016786 7463625468.956573 
rand_130 -1.690107 -1.123814 0.005445 -1.628880 0.191469 0.001307 302736723.136268 0.901619 7585380778.056262 
rand_131 -1.674084 -1.126730 0.005148 -1.628937 0.190285 0.001174 380873819.869949 1.132714 7988101098.659006 
rand_132 -1.680650 -1.139224 0.006270 -1.628937 0.187023 0.001564 1317856940.318278 1.843864 7480675615.837379 
rand_133 -1.635184 -1.121668 0.005216 -1.628913 0.190008 0.000569 1144538610.889277 1.127793 8491649611.496362 
rand_134 -1.648393 -1.145423 0.002132 -1.628935 0.197698 0.002689 370030941.858246 1.237395 6899155486.946979 
rand_135 -1.673123 -1.154460 0.006672 -1.628924 0.194106 0.002502 239603914.808194 1.072488 6135763392.164511 
rand_136 -1.647108 -1.124100 0.007212 -1.628904 0.191482 0.000599 1731325823.044542 1.810282 7395023879.050353 
rand_137 -1.665831 -1.153970 0.008860 -1.628938 0.197601 0.001045 592058384.822179 1.129048 8359472151.346954 
rand_138 -1.654607 -1.124398 0.003553 -1.628899 0.194739 0.000789 1322941760.400898 1.373090 8115751700.022358 
rand_139 -1.654715 -1.169094 0.006087 -1.628976 0.189891 0.001447 947326325.360312 1.310273 8959667070.375603 
rand_140 -1.650334 -1.144500 0.010803 -1.628888 0.197622 0.000892 1202219194.009058 1.389541 7558089751.925567 
rand_141 -1.653108 -1.136552 0.003893 -1.628979 0.201181 0.001602 805806462.588804 1.422467 7519196582.802074 
rand_142 -1.650316 -1.162133 0.004742 -1.628894 0.195213 0.000735 1366810606.338249 1.343714 7091937296.230136 
rand_143 -1.631116 -1.137453 0.001299 -1.628981 0.198953 0.001445 210718655.068788 0.886986 6492000214.976759 
rand_144 -1.645267 -1.106300 0.003446 -1.628878 0.195268 0.001017 414452880.831086 1.032402 8036940007.825559 
rand_145 -1.667749 -1.155406 0.006549 -1.628927 0.193489 0.000704 448147609.028540 0.841456 7445287587.747810 
rand_146 -1.662253 -1.136907 0.002604 -1.628957 0.202113 0.000988 925188596.644347 1.229114 8440624304.804580 
rand_147 -1.631706 -1.095947 0.000273 -1.628881 0.192281 0.001558 743587950.188311 1.319280 6813607067.996382 
rand_148 -1.657414 -1.151237 0.004422 -1.628960 0.203120 0.000266 2482979864.665631 1.450786 8006641133.240022 
rand_149 -1.668602 -1.102056 0.001445 -1.628937 0.188734 0.000765 1863484937.010346 1.567246 9607583199.424559 
rand_150 -1.674516 -1.135580 0.005528 -1.628861 0.198458 0.002426 849873241.289523 1.673522 8082209760.014703 
rand_151 -1.653720 -1.127962 0.001500 -1.628920 0.187180 0.001045 916577530.146457 1.635727 6326832688.617819 
rand_152 -1.679662 -1.104170 0.001138 -1.628986 0.204017 0.001376 332451136.381227 0.993577 6756616570.799893 
rand_153 -1.630450 -1.139702 0.006368 -1.628938 0.195615 0.002678 377931714.643718 1.277972 7548030549.831686 
rand_154 -1.683870 -1.117379 0.003357 -1.628941 0.193906 0.001247 1281948068.699605 1.884460 7083194580.629538 
rand_155 -1.626004 -1.112308 0.013549 -1.628926 0.197835 0.003161 346182549.799465 1.382856 7856147250.489491 
rand_156 -1.666560 -1.143016 0.003549 -1.628932 0.194444 0.001030 608416136.541916 1.427011 6632611967.589046 
rand_157 -1.684765 -1.145229 0.004346 -1.628916 0.197986 0.000384 1507769526.487343 1.337635 7452673975.053154 
rand_158 -1.655649 -1.134572 0.001194 -1.628972 0.195722 0.001023 1496876173.646726 1.568232 7744720849.907090 
rand_159 -1.681920 -1.133946 0.002407 -1.628946 0.188855 0.000933 1215803798.395656 1.563419 6947509568.576938 
rand_160 -1.659209 -1.151579 0.002932 -1.628923 0.194626 0.000386 2257395012.616660 1.494930 7974225622.238971 
rand_161 -1.673284 -1.142832 0.002624 -1.628952 0.197670 0.000602 792766067.303451 0.975232 7032866562.336312 
rand_162 -1.638263 -1.199338 0.007495 -1.628901 0.193414 0.001184 306849516.846567 0.864510 7775641685.210789 
rand_163 -1.656855 -1.136685 0.003431 -1.628951 0.188503 0.001574 392256128.349919 1.589475 5530892764.078071 
rand_164 -1.687336 -1.112112 0.000200 -1.628927 0.197609 0.002091 536886809.261139 1.456132 6781119589.296342 
rand_165 -1.673732 -1.163334 0.004432 -1.628934 0.198039 0.001246 470607411.235844 1.306881 6347865093.124263 
rand_166 -1.643786 -1.139263 0.002109 -1.628958 0.193748 0.000481 907415228.540768 1.155736 9391318287.458664 
rand_167 -1.630397 -1.081153 0.003356 -1.628929 0.196159 0.000985 1741466121.580528 1.659649 11913207541.073193 
rand_168 -1.661041 -1.130451 0.002031 -1.628966 0.186811 0.001158 946436590.346787 1.198729 6942552730.628695 
rand_169 -1.684021 -1.102864 0.004006 -1.628943 0.194521 0.000477 1080907774.835924 1.232075 6846629180.928960 
rand_170 -1.635757 -1.150238 0.003353 -1.628930 0.188350 0.000938 1102463770.438457 1.590862 6525112545.197307 
rand_171 -1.643887 -1.121024 0.004416 -1.628970 0.190780 0.001589 520018031.380405 1.165852 8154872283.493477 
rand_172 -1.629950 -1.153644 0.000886 -1.628914 0.194889 0.000582 631667547.558050 0.840078 7207695848.591416 
rand_173 -1.653325 -1.121979 0.004363 -1.628924 0.194575 0.000479 1244827875.846700 1.295241 6328851730.650909 
rand_174 -1.671974 -1.113155 0.003550 -1.628917 0.193719 0.001550 810133596.527855 1.577751 6591633823.856791 
rand_175 -1.648112 -1.117900 0.003583 -1.628931 0.196570 0.001498 551185402.603048 1.133106 6992651275.322186 
rand_176 -1.652494 -1.136899 0.003188 -1.628962 0.192768 0.001758 556315082.661184 1.543806 6919864673.236580 
rand_177 -1.673222 -1.124501 0.012020 -1.628931 0.191451 0.001133 178382366.908726 0.986278 7472502229.084808 
rand_178 -1.655431 -1.124310 0.007628 -1.628914 0.199589 0.001186 205122191.361424 0.987643 7765760989.881618 
rand_179 -1.664486 -1.116680 0.004272 -1.628963 0.193189 0.000872 2033551043.945100 1.714639 7787291759.914077 
rand_180 -1.642899 -1.132475 0.000586 -1.628961 0.200399 0.000376 1134874191.513312 0.948858 7231668439.112355 
rand_181 -1.648684 -1.111377 0.001850 -1.628938 0.197705 0.000862 1299952898.648231 0.955907 8103541350.647205 
rand_182 -1.684187 -1.101308 0.009712 -1.628941 0.200957 0.000927 1708279500.101367 1.908720 6841215312.293541 
rand_183 -1.686506 -1.136357 0.000735 -1.628931 0.192011 0.000507 993332103.166622 0.942509 7183107939.072472 
rand_184 -1.662066 -1.129071 0.002372 -1.628939 0.186392 0.000771 1992095301.045776 1.487985 7669529732.723734 
rand_185 -1.659245 -1.148096 0.002143 -1.628927 0.199087 0.003042 405043364.079425 1.613655 5924454684.643442 
rand_186 -1.642498 -1.123195 0.004570 -1.628898 0.194773 0.000868 1354804304.813489 1.416339 8265101271.264639 
rand_187 -1.648194 -1.123067 0.001256 -1.628916 0.196305 0.001023 693078852.731995 0.967044 7319634061.007675 
rand_188 -1.626450 -1.128840 0.003783 -1.628929 0.189481 0.000703 982971020.965046 1.073380 8293628822.370803 
rand_189 -1.670745 -1.127332 0.001348 -1.628961 0.191117 0.001495 442999937.631783 1.174329 5836212809.473138 
rand_190 -1.672059 -1.091563 0.008470 -1.628950 0.196946 0.000389 1051683691.000676 1.189885 5466931871.926057 
rand_191 -1.682076 -1.187734 0.000227 -1.628908 0.192182 0.001543 991802713.203782 1.748923 6877912276.448745 
rand_192 -1.642764 -1.139933 0.007083 -1.628944 0.196938 0.001359 1078900693.134282 1.356468 7910306172.841971 
rand_193 -1.659500 -1.136874 0.000644 -1.628957 0.191103 0.000733 2295298658.280351 1.756074 10513850558.095572 
rand_194 -1.702633 -1.100862 0.006051 -1.628874 0.194916 0.000902 975716543.690800 1.445511 7797882366.256033 
rand_195 -1.655350 -1.120494 0.000167 -1.628890 0.193258 0.000938 760337156.211536 1.210606 7596575194.707381 
rand_196 -1.653883 -1.120006 0.011670 -1.628934 0.182639 0.000865 387379382.711915 0.761302 8519801869.742231 
rand_197 -1.663320 -1.104803 0.004862 -1.628960 0.196976 0.001015 1015705897.766641 1.218080 7330218406.707481 
rand_198 -1.653177 -1.133599 0.006984 -1.628911 0.188349 0.000669 811085255.169253 1.021855 6790079519.493392 
rand_199 -1.688065 -1.116953 0.001580 -1.628944 0.185483 0.001631 911662699.194191 1.278473 7312999767.797926 
rand_200 -1.622256 -1.140615 0.006193 -1.628907 0.201865 0.000545 1199289056.984121 1.315937 6713179139.249917 
rand_201 -1.651254 -1.151066 0.006060 -1.628944 0.190986 0.000278 995494506.124980 0.627923 5404639686.714276 
rand_202 -1.700795 -1.094117 0.004492 -1.628887 0.199152 0.000364 1314048380.960051 1.413774 6779839507.047076 
rand_203 -1.660136 -1.122619 0.004334 -1.628945 0.189422 0.001835 1221487313.195719 1.590548 7816160891.676026 
rand_204 -1.650645 -1.117107 0.007754 -1.628867 0.197024 0.001508 1136094090.592449 1.767022 7574473717.844552 
rand_205 -1.685597 -1.151603 0.000431 -1.628926 0.189037 0.000623 1312538318.766016 1.100636 7778395012.000741 
rand_206 -1.647727 -1.119793 0.005171 -1.628894 0.195161 0.000830 364298550.994078 1.082800 7288203465.636747 
rand_207 -1.621339 -1.094435 0.014777 -1.628946 0.195538 0.000500 1311889495.576119 1.476659 6825648311.414929 
rand_208 -1.674820 -1.135549 0.004644 -1.628966 0.195322 0.000344 1694332422.703735 1.232437 7762516712.773778 
rand_209 -1.650146 -1.155116 0.003596 -1.628993 0.187397 0.001454 783479272.326878 1.296471 7635006063.931248 
rand_210 -1.655202 -1.126320 0.005779 -1.628897 0.197534 0.001002 1531458876.226161 1.727808 6759810163.318282 
rand_211 -1.637729 -1.150718 0.005523 -1.628929 0.191523 0.001467 397975738.480859 1.188097 4763845310.714623 
rand_212 -1.662503 -1.161156 0.001780 -1.628965 0.194471 0.000655 908582726.982108 1.103198 6969258705.551756 
rand_213 -1.684534 -1.144695 0.003617 -1.628895 0.199360 0.000444 1604792835.088632 1.310956 8886034898.264996 
rand_214 -1.639204 -1.139852 0.009041 -1.628900 0.194052 0.000799 1536782308.672167 1.610809 5798123350.985325 
rand_215 -1.683167 -1.149745 0.005574 -1.628894 0.196256 0.000445 983842618.086087 1.010414 7081273690.802787 
rand_216 -1.618396 -1.103471 0.007038 -1.628967 0.195923 0.000456 3394350104.451408 1.880210 5786545942.721392 
rand_217 -1.647102 -1.092208 0.009654 -1.628897 0.196739 0.000748 585869155.934190 1.119580 6498118080.105257 
rand_218 -1.673775 -1.117638 0.003972 -1.628921 0.190067 0.002587 299205933.589545 1.431659 6945560798.600045 
rand_219 -1.634501 -1.122316 0.000291 -1.628892 0.185500 0.001406 802255415.989826 1.458276 8170029298.582080 
rand_220 -1.660211 -1.132841 0.005188 -1.628916 0.190087 0.001887 1257512817.761395 1.720236 8154240342.412921 
rand_221 -1.665092 -1.147927 0.006340 -1.628926 0.188952 0.000751 1334612717.284174 1.385487 7695033414.385781 
rand_222 -1.675660 -1.097942 0.008677 -1.628897 0.192766 0.002163 601054361.884977 1.660630 7109255161.465421 
rand_223 -1.703198 -1.131257 0.007417 -1.628908 0.195644 0.000614 872869730.962674 1.009395 6903455133.741483 
rand_224 -1.646099 -1.139252 0.009219 -1.628902 0.204984 0.001355 692329981.526938 1.387484 7114057066.951067 
rand_225 -1.697447 -1.109705 0.005316 -1.628944 0.191906 0.002240 181238570.662693 1.264590 6841009800.903710 
rand_226 -1.678246 -1.131472 0.006226 -1.628936 0.199360 0.000568 2074071727.031341 1.260131 8263025207.453328 
rand_227 -1.650045 -1.110454 0.006065 -1.628978 0.197298 0.001796 562740480.991265 1.351312 7756997517.619708 
rand_228 -1.671516 -1.138195 0.012195 -1.628946 0.196043 0.001216 792457664.033429 1.126737 6639044769.096395 
rand_229 -1.656386 -1.109647 0.007347 -1.628910 0.196600 0.001161 807813679.716685 1.485784 6433436127.560191 
rand_230 -1.687915 -1.110405 0.009067 -1.628916 0.193104 0.000798 287352672.695944 0.733586 6936791512.664550 
rand_231 -1.668015 -1.103503 0.000787 -1.628957 0.189466 0.001757 138883708.532192 0.713982 8989251494.119390 
rand_232 -1.656242 -1.144188 0.005116 -1.628896 0.188702 0.000324 1067836549.117285 1.086621 7373877542.145295 
