trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD star/dFlareSlopeA1 star/dFlareSlopeA2 star/dFlareSlopeA3 star/dFlareYIntB1 star/dFlareYIntB2 star/dFlareYIntB3 vpl/dStopTime 
rand_025 -1.657606 -1.142451 0.004075 -1.628934 0.199101 6487809.621483 -0.216889 -2.055173 -1.959129 0.362604 -0.148193 0.514606 -0.615748 4.687245 -16.367892 19.372574 6323775458.739528 
rand_026 -1.667071 -1.132805 0.005130 -1.628970 0.196789 5698625.142246 -0.163579 -3.225848 -1.512485 0.229587 -0.148365 0.515174 -0.616272 4.693301 -16.384203 19.388381 6794027884.050811 
rand_027 -1.662227 -1.128242 0.004264 -1.628934 0.193796 5853131.909182 0.027438 -2.684996 -1.312573 0.080513 -0.148531 0.516931 -0.617298 4.698628 -16.445439 19.424206 6644866242.250237 
rand_028 -1.694256 -1.108863 0.002005 -1.628967 0.195112 5679799.609893 -0.091506 -3.352156 -1.575712 0.270639 -0.148637 0.518271 -0.618643 4.702023 -16.490034 19.469574 7277296522.774181 
rand_029 -1.636088 -1.147812 0.006872 -1.628897 0.195886 5875281.802136 -0.141822 -2.828262 -2.344463 0.381217 -0.147863 0.521320 -0.620572 4.676450 -16.596583 19.536069 6961276949.739628 
rand_030 -1.690700 -1.133892 0.003095 -1.628920 0.197600 4016349.590023 -0.152304 -3.146297 -1.421525 0.242235 -0.147413 0.519786 -0.620283 4.660936 -16.543667 19.525966 7457653382.854017 
rand_031 -1.675565 -1.134917 0.003982 -1.628917 0.198171 4155087.228675 -0.121428 -2.702525 -1.723549 0.231354 -0.148172 0.511123 -0.612579 4.686251 -16.247317 19.264349 7117528191.584053 
rand_032 -1.640780 -1.141992 0.010982 -1.628896 0.197871 3996249.163924 -0.180743 -2.823463 -1.573428 0.195179 -0.147771 0.520073 -0.620815 4.673061 -16.553105 19.544098 7415678644.843106 
rand_033 -1.661393 -1.073313 0.003002 -1.628965 0.198896 6593656.263342 -0.058107 -3.278780 -1.505690 0.236070 -0.147831 0.517715 -0.619286 4.674786 -16.467554 19.488394 7356172902.726801 
rand_034 -1.639412 -1.137716 0.002585 -1.628951 0.195418 3948031.883115 -0.123434 -3.081068 -1.397103 0.335659 -0.148159 0.516759 -0.617255 4.686269 -16.439864 19.423062 7324335580.596464 
rand_035 -1.620555 -1.135080 0.006926 -1.628958 0.191412 6350827.852049 -0.179927 -2.068631 -1.641457 0.361509 -0.147847 0.517269 -0.618540 4.675124 -16.454948 19.465450 6830990501.168867 
rand_036 -1.635888 -1.110545 0.005079 -1.628939 0.186023 5722079.362238 -0.199226 -3.849200 -1.423603 0.399246 -0.148042 0.516019 -0.617126 4.682508 -16.412657 19.416019 7394506448.447550 
rand_037 -1.656153 -1.139222 0.005393 -1.628964 0.199786 4988074.647431 -0.183882 -2.359763 -2.198504 0.347102 -0.147242 0.515941 -0.618437 4.654591 -16.407852 19.460897 7433285834.588305 
rand_038 -1.654759 -1.107419 0.007411 -1.628969 0.198318 5119053.153848 -0.144609 -2.370515 -1.669721 0.270912 -0.148306 0.513263 -0.612956 4.691163 -16.323806 19.279024 6304006168.468735 
rand_039 -1.629159 -1.131334 0.000978 -1.628915 0.189131 4026935.818982 -0.233269 -2.750998 -1.394635 0.304026 -0.147556 0.517176 -0.617798 4.666229 -16.454825 19.441053 6407667449.116060 
rand_040 -1.676688 -1.106298 0.001059 -1.628919 0.194483 5539670.338565 -0.236085 -2.981219 -1.789098 0.249783 -0.148156 0.516390 -0.617401 4.686040 -16.423219 19.424773 7238926743.249856 
rand_041 -1.680642 -1.125904 0.006300 -1.628942 0.193990 6099690.013135 -0.141965 -3.312513 -1.493632 0.248027 -0.147581 0.517074 -0.620082 4.665974 -16.446609 19.517209 6994250188.038094 
rand_042 -1.680114 -1.128926 0.001818 -1.628900 0.203235 4845604.129679 -0.169947 -3.076418 -1.224080 0.316334 -0.148911 0.518181 -0.617047 4.711496 -16.487020 19.414862 7586207536.978612 
rand_043 -1.666222 -1.145319 0.000368 -1.628906 0.194522 6254244.068667 -0.164985 -2.940066 -1.467893 0.246186 -0.147985 0.518427 -0.618632 4.679944 -16.494944 19.468602 7479543268.153913 
rand_044 -1.665382 -1.114177 0.013465 -1.628931 0.204052 5194654.917022 -0.174851 -2.142969 -1.000202 0.081216 -0.147011 0.517327 -0.619447 4.647493 -16.458069 19.496457 6706764689.681773 
rand_045 -1.642482 -1.127482 0.001408 -1.628922 0.206255 5193638.405563 -0.184654 -2.524861 -1.892722 0.339645 -0.148181 0.515711 -0.617436 4.687096 -16.401849 19.427119 7771314442.824501 
rand_046 -1.665304 -1.113564 0.001137 -1.628915 0.195489 5852639.302681 -0.202418 -3.030798 -1.762582 0.333826 -0.148438 0.518547 -0.618160 4.695559 -16.500219 19.452874 6911915310.501577 
rand_047 -1.620446 -1.112456 0.009013 -1.628966 0.192525 4767901.107902 -0.039186 -2.334787 -1.861239 0.221663 -0.148335 0.516352 -0.617580 4.692001 -16.423801 19.432065 7556493747.182560 
rand_048 -1.649533 -1.127959 0.005126 -1.628931 0.193121 4516588.842320 -0.055265 -2.562718 -1.694091 0.211915 -0.147248 0.514317 -0.617045 4.655288 -16.358368 19.417443 7558380119.291568 
rand_049 -1.673786 -1.134254 0.007559 -1.628942 0.188308 4987754.455953 -0.124265 -3.611641 -2.040606 0.340634 -0.148064 0.513258 -0.614588 4.683283 -16.318856 19.330321 7411185750.029321 
rand_050 -1.643415 -1.131853 0.007830 -1.628950 0.197541 6054171.043652 -0.218721 -2.371063 -1.387709 0.362091 -0.148361 0.516884 -0.618476 4.693057 -16.441030 19.462802 6599213256.551018 
rand_051 -1.701084 -1.123559 0.006888 -1.628888 0.204707 5219654.234408 -0.110910 -2.683486 -1.321149 0.223262 -0.148325 0.517621 -0.617621 4.692579 -16.469415 19.434371 7789572231.298858 
rand_052 -1.652094 -1.135117 0.002035 -1.628957 0.199638 4995415.373487 -0.132646 -2.672073 -0.937845 0.233396 -0.147517 0.520489 -0.621505 4.664575 -16.564856 19.565310 6652753380.826119 
rand_053 -1.690119 -1.125482 0.002543 -1.628937 0.202575 4973796.143510 -0.194988 -3.413604 -1.468060 0.258114 -0.147763 0.516458 -0.618299 4.672410 -16.430389 19.460073 7033273253.243631 
rand_054 -1.675139 -1.117308 0.001139 -1.628990 0.190875 4932892.540990 -0.315243 -3.132166 -1.687797 0.445195 -0.148389 0.515058 -0.615544 4.693968 -16.386349 19.368254 7948766307.085752 
rand_055 -1.686702 -1.111863 0.003862 -1.628918 0.190866 3520153.151931 -0.093124 -3.082975 -1.711768 0.276954 -0.148085 0.513085 -0.614044 4.684342 -16.314444 19.313255 7169328329.913229 
rand_056 -1.635898 -1.122349 0.006711 -1.628948 0.194329 3863077.110615 -0.221896 -2.718846 -1.777163 0.313203 -0.148283 0.517454 -0.618381 4.690690 -16.459876 19.458691 6061598657.343043 
rand_057 -1.671699 -1.158998 0.002506 -1.628914 0.197837 4245801.486552 -0.205897 -2.902791 -1.870339 0.290663 -0.147809 0.520126 -0.621720 4.673861 -16.549212 19.571045 6967440442.858993 
rand_058 -1.666023 -1.121096 0.008522 -1.628963 0.192402 5818511.271771 -0.134584 -2.523478 -1.706061 0.284416 -0.148690 0.518329 -0.617376 4.703832 -16.493671 19.427600 6944133146.267324 
rand_059 -1.638863 -1.101908 0.010619 -1.628930 0.201610 3560956.910146 -0.271874 -2.536094 -1.590056 0.271466 -0.147721 0.516889 -0.617537 4.671399 -16.448749 19.435731 7325173745.010557 
rand_060 -1.639598 -1.155507 0.007153 -1.628944 0.193186 2820386.630725 -0.135425 -3.372239 -1.700700 0.290341 -0.147443 0.517113 -0.618796 4.662417 -16.451855 19.474816 6876463225.366584 
rand_061 -1.657452 -1.181072 0.001822 -1.628861 0.195468 4848623.273050 -0.104589 -2.939497 -1.506157 0.261703 -0.148829 0.514217 -0.615257 4.708581 -16.349964 19.353181 6949333235.873318 
rand_062 -1.637745 -1.122625 0.000580 -1.628948 0.194363 4980094.294256 -0.098674 -2.530064 -1.247371 0.246651 -0.147705 0.519638 -0.620243 4.671303 -16.536976 19.523337 7225117207.339129 
rand_063 -1.669027 -1.162689 0.008916 -1.628920 0.193290 7234604.195181 -0.158215 -2.240268 -2.263380 0.298815 -0.147613 0.521069 -0.621544 4.667236 -16.584012 19.567105 7294330422.225334 
rand_064 -1.632333 -1.131719 0.000414 -1.628938 0.187825 5765746.585907 -0.158408 -2.860109 -1.920944 0.368850 -0.147782 0.520034 -0.620521 4.673557 -16.550893 19.533416 7222625848.785995 
rand_065 -1.645449 -1.167236 0.001979 -1.628932 0.193771 5967379.336374 -0.179403 -2.936548 -1.616770 0.331634 -0.147660 0.511082 -0.613875 4.668735 -16.244915 19.307404 6725824930.696522 
rand_066 -1.641801 -1.121854 0.004948 -1.628939 0.192158 5334650.488526 -0.133650 -2.438010 -1.683014 0.177404 -0.148134 0.518684 -0.619868 4.685716 -16.502972 19.509631 7605948114.614751 
rand_067 -1.639638 -1.119839 0.007546 -1.628901 0.196951 5778689.133372 -0.196361 -2.836155 -1.668545 0.186907 -0.148521 0.517066 -0.617042 4.699707 -16.449848 19.413677 7296174179.785317 
rand_068 -1.634481 -1.137843 0.001795 -1.628950 0.189838 4550686.740050 -0.111078 -2.543065 -2.026705 0.326855 -0.149046 0.515622 -0.615011 4.715682 -16.401198 19.347366 8127575016.581570 
rand_069 -1.661661 -1.143519 0.012169 -1.628895 0.184683 3739353.434249 -0.124360 -3.342424 -2.056098 0.336852 -0.148033 0.518966 -0.619614 4.681522 -16.512272 19.501139 7172347488.857613 
rand_070 -1.642506 -1.152516 0.003463 -1.628907 0.191372 6357764.336863 -0.106273 -2.613351 -1.894046 0.334190 -0.147776 0.520771 -0.621825 4.672718 -16.571302 19.574879 6908241035.563436 
rand_071 -1.616671 -1.140240 0.007075 -1.628919 0.197826 3460577.551944 -0.134339 -3.196801 -1.972705 0.288960 -0.147877 0.519329 -0.620635 4.675919 -16.525033 19.537440 7056239767.721723 
rand_072 -1.632945 -1.157647 0.000778 -1.628946 0.199038 5543780.364611 0.013571 -2.510926 -1.648506 0.169452 -0.147348 0.520721 -0.623083 4.658403 -16.569564 19.617793 7558064083.405887 
rand_073 -1.678705 -1.129798 0.005622 -1.628884 0.193098 5057425.396208 -0.186189 -2.345301 -1.782681 0.315954 -0.147583 0.515236 -0.617625 4.665983 -16.388633 19.436919 7613252309.163254 
rand_074 -1.702984 -1.172235 0.003542 -1.628924 0.196486 4966685.356679 -0.048782 -2.069295 -2.100421 0.303661 -0.148310 0.514755 -0.616652 4.690963 -16.369090 19.401540 7377141399.830606 
rand_075 -1.682548 -1.129517 0.011072 -1.628899 0.199303 5839280.031882 -0.191004 -3.135030 -1.244585 0.300625 -0.147833 0.516817 -0.618117 4.675568 -16.442031 19.451906 6213231425.298317 
rand_076 -1.714419 -1.137394 0.002455 -1.628907 0.196695 3692253.540567 -0.216044 -2.824205 -1.467035 0.317585 -0.148354 0.516471 -0.616998 4.692568 -16.434430 19.418223 7122109484.277984 
rand_077 -1.671316 -1.082732 0.006027 -1.628932 0.195822 4305524.281274 -0.185615 -2.903950 -1.253155 0.212796 -0.148641 0.513010 -0.613015 4.702823 -16.314881 19.280619 6823502480.244685 
rand_078 -1.670798 -1.142983 0.005391 -1.628939 0.200843 4650196.083552 -0.204721 -3.253505 -1.372764 0.349292 -0.147330 0.517887 -0.620508 4.658138 -16.476776 19.532250 7343449797.076072 
rand_079 -1.640543 -1.110462 0.004297 -1.628905 0.200109 3791933.782130 -0.161207 -2.755932 -1.112049 0.174856 -0.148436 0.516011 -0.616993 4.696017 -16.409548 19.409741 6939711238.247849 
rand_080 -1.649070 -1.111000 0.003542 -1.628947 0.193911 4255413.308691 -0.084502 -2.369387 -1.485875 0.188687 -0.148261 0.518827 -0.620187 4.689930 -16.507780 19.520577 7560285976.448181 
rand_081 -1.702310 -1.144988 0.007247 -1.628966 0.187842 4805051.904601 -0.140039 -2.881515 -2.016665 0.261703 -0.149067 0.514436 -0.615148 4.716831 -16.359166 19.350543 7278936681.271377 
rand_082 -1.670723 -1.120812 0.003793 -1.628933 0.197517 3829625.792061 -0.123288 -2.583386 -2.095739 0.337649 -0.148457 0.518436 -0.618414 4.696023 -16.494605 19.461028 7186682868.116993 
rand_083 -1.661726 -1.143222 0.003711 -1.628947 0.201368 4933025.972818 -0.041592 -2.716544 -1.414815 0.267591 -0.147652 0.515168 -0.616961 4.668954 -16.386051 19.413896 7406045753.832616 
rand_084 -1.699500 -1.125703 0.006950 -1.628935 0.189401 2683677.507662 -0.116894 -2.440840 -2.349622 0.363750 -0.147815 0.516814 -0.617656 4.674199 -16.445383 19.439639 6541835243.846931 
rand_085 -1.697178 -1.097906 0.000248 -1.628961 0.194004 4317777.267524 -0.159140 -2.881134 -1.593900 0.283177 -0.148031 0.519304 -0.619639 4.681734 -16.528044 19.505173 7123202739.594689 
rand_086 -1.664744 -1.121163 0.001426 -1.628876 0.191664 3925311.422983 -0.373076 -2.705791 -1.767747 0.389683 -0.148624 0.519889 -0.619819 4.702836 -16.543681 19.507347 8174198856.009257 
rand_087 -1.658008 -1.152656 0.005393 -1.628915 0.198774 5098364.662610 -0.229020 -3.083351 -2.090467 0.309712 -0.147751 0.514589 -0.615710 4.671978 -16.365688 19.370746 7991703515.265907 
rand_088 -1.688648 -1.116850 0.008745 -1.628972 0.196207 6059512.219409 -0.089381 -2.793330 -2.357577 0.336013 -0.148354 0.515771 -0.615073 4.692786 -16.412286 19.353757 6576137169.018673 
rand_089 -1.651120 -1.146995 0.009360 -1.628962 0.195880 4267923.863916 -0.180025 -2.335874 -1.687009 0.287880 -0.148199 0.518116 -0.618235 4.687886 -16.483517 19.453885 6678603692.795844 
rand_090 -1.661403 -1.141614 0.002301 -1.628941 0.189328 4052282.756747 -0.220383 -3.394352 -1.314864 0.245823 -0.147966 0.516018 -0.616883 4.679531 -16.417155 19.412304 7922676434.277129 
rand_091 -1.643625 -1.103986 0.005637 -1.628960 0.183664 5832661.008562 -0.129528 -3.121141 -1.470869 0.313820 -0.148234 0.515444 -0.616456 4.689165 -16.395415 19.395431 7413244594.081304 
rand_092 -1.649472 -1.104096 0.006229 -1.628936 0.200332 5595090.110440 -0.109685 -2.859441 -1.779060 0.199319 -0.148257 0.512499 -0.612746 4.689470 -16.297401 19.271763 7574653750.904526 
rand_093 -1.714639 -1.111855 0.010707 -1.628960 0.186693 4638167.710284 -0.119404 -2.815611 -1.522359 0.181897 -0.148974 0.517746 -0.617587 4.714142 -16.471569 19.432228 7027962253.773828 
rand_094 -1.653463 -1.091210 0.001658 -1.628915 0.196826 4010371.894915 -0.161746 -3.013724 -2.134779 0.246784 -0.147621 0.519832 -0.621257 4.667928 -16.544557 19.559186 6480336547.288708 
rand_095 -1.667139 -1.117369 0.003082 -1.628913 0.181594 5048876.015759 -0.113485 -3.002023 -1.626870 0.231954 -0.147058 0.514629 -0.616636 4.649143 -16.370388 19.403377 7509886814.203032 
rand_096 -1.666017 -1.129264 0.000343 -1.628920 0.186075 4615328.707204 -0.216684 -3.336046 -1.504249 0.230516 -0.147212 0.516678 -0.619015 4.654183 -16.434118 19.480382 8043541126.280793 
rand_097 -1.649188 -1.123171 0.002807 -1.628920 0.197911 5024705.987455 -0.164553 -3.412873 -1.403907 0.392700 -0.148400 0.514193 -0.614879 4.694425 -16.352682 19.342787 6511466416.853107 
rand_098 -1.650772 -1.120609 0.004123 -1.628950 0.196560 2344646.051340 -0.271349 -3.084106 -1.073216 0.230098 -0.148274 0.515053 -0.616658 4.690366 -16.383390 19.403508 7278792389.015711 
rand_099 -1.656854 -1.126154 0.004300 -1.628924 0.190332 3703361.672179 -0.218227 -3.294034 -1.320325 0.326970 -0.148386 0.511501 -0.612842 4.693924 -16.263150 19.274213 7451354408.532893 
rand_100 -1.655309 -1.137089 0.003856 -1.628911 0.192588 5626708.517085 -0.145049 -2.608363 -1.642886 0.292236 -0.147709 0.516892 -0.619043 4.670000 -16.445434 19.485727 7009987768.686332 
rand_101 -1.656392 -1.107776 0.006503 -1.628932 0.202553 2514166.585673 -0.181769 -2.249312 -1.615511 0.275369 -0.147762 0.515848 -0.617786 4.672501 -16.407068 19.439821 6668478942.304484 
rand_102 -1.645096 -1.126548 0.002744 -1.628928 0.197928 5457290.628093 -0.149911 -3.100944 -1.611074 0.219375 -0.148291 0.514810 -0.617010 4.690286 -16.372171 19.414315 7348265708.939622 
rand_103 -1.652216 -1.097346 0.005087 -1.628957 0.191923 6027843.525367 -0.220123 -2.933265 -1.147991 0.220112 -0.148096 0.520198 -0.619882 4.684238 -16.557189 19.512006 6935447513.506110 
rand_104 -1.662269 -1.142078 0.003216 -1.628913 0.197632 6221401.705131 -0.087290 -2.534392 -1.346637 0.203718 -0.147705 0.521579 -0.622975 4.670259 -16.600947 19.616214 6942769886.091347 
rand_105 -1.664794 -1.147678 0.007902 -1.628906 0.192636 4480014.112354 -0.116712 -3.219374 -1.978085 0.361912 -0.148223 0.511408 -0.612938 4.688266 -16.259443 19.278189 7474443910.074736 
rand_106 -1.673528 -1.132706 0.007174 -1.628917 0.197149 3356084.216379 -0.100331 -2.246767 -1.339102 0.214982 -0.147368 0.519394 -0.620670 4.659534 -16.528786 19.538218 6969565346.446517 
rand_107 -1.688289 -1.137803 0.006854 -1.628922 0.197526 5550159.023787 -0.190509 -2.843800 -1.675947 0.333117 -0.148829 0.515498 -0.616108 4.708160 -16.395356 19.383877 7331946483.364747 
rand_108 -1.692500 -1.149783 0.007221 -1.628956 0.188961 5362454.423155 -0.120066 -2.655947 -1.948221 0.334270 -0.148924 0.517817 -0.617738 4.711795 -16.472749 19.437489 7268667128.117375 
rand_109 -1.668703 -1.112939 0.002424 -1.628912 0.196303 4525227.550985 -0.105831 -3.293390 -2.149374 0.322000 -0.148662 0.517228 -0.617352 4.703251 -16.455764 19.426436 7357432660.740849 
rand_110 -1.652008 -1.093811 0.007323 -1.628893 0.201035 5061323.344428 -0.176279 -2.599726 -1.726691 0.266071 -0.148356 0.519842 -0.619704 4.693339 -16.543212 19.504449 7843212533.572570 
rand_111 -1.654392 -1.133842 0.012463 -1.628989 0.193211 7131555.797424 -0.126751 -2.510546 -2.354781 0.337600 -0.147254 0.518482 -0.620482 4.655153 -16.496396 19.531897 6925384139.703952 
rand_112 -1.644434 -1.133741 0.016096 -1.628929 0.198259 4502681.688240 -0.262183 -2.346124 -1.348269 0.328495 -0.147876 0.518320 -0.619439 4.676650 -16.492133 19.496493 7247326574.402865 
rand_113 -1.716285 -1.149969 0.002305 -1.628924 0.190314 4986427.043914 -0.136116 -2.939832 -1.994148 0.294870 -0.148074 0.518586 -0.618548 4.683064 -16.501403 19.466466 7153082494.906471 
rand_114 -1.668883 -1.100152 0.002741 -1.628944 0.196829 3771977.498394 -0.172602 -3.030034 -1.878379 0.368438 -0.147928 0.516676 -0.618515 4.678043 -16.433693 19.463427 7863597151.405006 
rand_115 -1.647656 -1.118143 0.005914 -1.628901 0.203313 6411642.709273 -0.145101 -3.047327 -2.122840 0.396810 -0.148093 0.520882 -0.620343 4.684501 -16.578467 19.525267 6660789705.736305 
rand_116 -1.702246 -1.188774 0.006591 -1.628950 0.197500 6189256.117028 -0.136269 -2.251475 -1.378121 0.308912 -0.147576 0.520589 -0.620761 4.666459 -16.570597 19.542045 6702192526.201045 
rand_117 -1.662550 -1.128563 0.001546 -1.628951 0.203033 5540517.241783 -0.150649 -2.589056 -1.588887 0.295559 -0.147836 0.519027 -0.620712 4.674938 -16.514430 19.538961 6802514774.589893 
rand_118 -1.644949 -1.124779 0.002375 -1.628900 0.194556 4806355.895024 -0.251051 -2.429111 -1.086042 0.219712 -0.147565 0.520674 -0.621905 4.665692 -16.572322 19.580697 6462232101.795614 
rand_119 -1.653673 -1.148719 0.005526 -1.628929 0.192753 5674333.061051 -0.061287 -2.485223 -2.170916 0.311929 -0.148960 0.515644 -0.614856 4.714035 -16.401968 19.340635 7304147623.600137 
rand_120 -1.679216 -1.117139 0.001652 -1.628952 0.192194 5307030.263855 -0.230237 -2.415524 -1.719036 0.393330 -0.148389 0.518628 -0.619005 4.693512 -16.501115 19.481694 7788386697.874635 
rand_121 -1.682484 -1.130400 0.007375 -1.628915 0.199828 4907434.117602 -0.254379 -3.230383 -1.275906 0.218649 -0.147702 0.518322 -0.619590 4.670444 -16.493912 19.503844 7090231719.295125 
rand_122 -1.674385 -1.126363 0.002646 -1.628949 0.189077 4374886.205780 -0.142397 -2.024910 -2.013878 0.307720 -0.147507 0.516979 -0.619455 4.663397 -16.442933 19.494962 7381151474.550316 
rand_123 -1.643885 -1.143348 0.006775 -1.628943 0.189090 5417341.160247 -0.098104 -2.451188 -1.740148 0.248943 -0.148240 0.518219 -0.617800 4.689306 -16.491203 19.442158 7493499798.089814 
rand_124 -1.626374 -1.124844 0.003318 -1.628957 0.201247 6116815.946835 -0.130548 -2.648157 -1.576699 0.266980 -0.147351 0.519784 -0.621625 4.658634 -16.538101 19.568129 6596593560.977517 
rand_125 -1.641562 -1.099505 0.008366 -1.628931 0.192907 5044998.385779 -0.107919 -2.678787 -0.870883 0.089117 -0.148231 0.516289 -0.616562 4.688670 -16.422441 19.398358 7275332158.996934 
rand_126 -1.627277 -1.126329 0.000274 -1.628962 0.194566 4306633.664031 -0.109166 -3.123499 -1.539652 0.198583 -0.149006 0.514095 -0.615285 4.714932 -16.346834 19.354388 7420693118.840862 
rand_127 -1.680004 -1.107009 0.001395 -1.628906 0.196664 5760795.616363 -0.083347 -2.825497 -1.353261 0.151455 -0.149210 0.513954 -0.614633 4.721653 -16.343609 19.334084 6546679967.968194 
rand_128 -1.663173 -1.162418 0.002654 -1.628921 0.197697 5941636.755531 -0.182913 -3.418798 -1.731833 0.292799 -0.148006 0.514352 -0.615913 4.680493 -16.356766 19.377197 7802771324.937404 
