trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta star/dAge star/dFlareSlopeA1 star/dFlareSlopeA2 star/dFlareSlopeA3 star/dFlareYIntB1 star/dFlareYIntB2 star/dFlareYIntB3 vpl/dStopTime 
rand_016 -1.668890 -1.137084 0.002690 -1.628959 0.191933 0.000699 1117644127.820374 1.178767 5702111.599489 -0.148262 0.515693 -0.616490 4.689401 -16.401760 19.396124 7229900622.888600 
rand_017 -1.644847 -1.112458 0.004598 -1.628920 0.197900 0.001376 940904549.184794 1.489668 4263589.989542 -0.147667 0.521194 -0.622373 4.669338 -16.587374 19.594644 7863886822.643904 
rand_018 -1.665533 -1.092902 0.001338 -1.628956 0.195566 0.000844 1624386275.472464 1.495248 3928701.129733 -0.148662 0.514538 -0.615051 4.703477 -16.364361 19.348275 7177714637.829921 
rand_019 -1.669084 -1.158974 0.003746 -1.628949 0.194202 0.001235 461842119.282124 1.357972 4579408.465560 -0.148018 0.516853 -0.617539 4.681406 -16.441111 19.431040 7411047383.857962 
rand_020 -1.667083 -1.094017 0.006877 -1.628986 0.193983 0.001311 1005902065.813177 1.503976 7180815.049704 -0.147643 0.516936 -0.619561 4.667764 -16.444683 19.501630 8106704857.157361 
rand_021 -1.675794 -1.125987 0.001235 -1.628873 0.194214 0.002427 1364410423.854745 1.853533 5047607.164446 -0.148150 0.518102 -0.618147 4.686486 -16.487269 19.453716 6758024529.810727 
rand_022 -1.649662 -1.128503 0.005713 -1.628901 0.189610 0.000775 949024989.964656 1.344084 5090253.892345 -0.148339 0.520730 -0.620013 4.692688 -16.574041 19.514933 5913096350.137219 
rand_023 -1.659166 -1.140835 0.008091 -1.628949 0.190564 0.000838 986612699.072910 1.354696 6379460.916302 -0.148178 0.518685 -0.618625 4.687322 -16.508450 19.471177 7118174256.727751 
rand_024 -1.691192 -1.137278 0.004683 -1.628923 0.190234 0.000465 772506143.657718 1.273491 3835471.173921 -0.148066 0.518417 -0.620026 4.682929 -16.492084 19.514018 5640542232.069682 
rand_025 -1.671212 -1.144900 0.005937 -1.628942 0.197541 0.001064 596556066.024979 1.297360 5538960.281038 -0.148309 0.516260 -0.616753 4.691506 -16.423512 19.405982 8582309205.353150 
rand_026 -1.668442 -1.149060 0.004714 -1.628905 0.197496 0.000335 2847955185.284208 1.553399 5516343.000544 -0.148522 0.518497 -0.619241 4.698622 -16.496311 19.488471 7190007302.644424 
rand_027 -1.668603 -1.121008 0.003122 -1.628940 0.198802 0.000569 165515700.665236 0.670472 5957357.455112 -0.148138 0.516268 -0.617636 4.685113 -16.419870 19.433922 6713477091.307517 
rand_028 -1.646221 -1.107746 0.006504 -1.628936 0.191838 0.001102 694738572.260275 1.221584 5852293.450301 -0.147794 0.517888 -0.619493 4.674106 -16.475469 19.496785 7034390785.253336 
rand_029 -1.676150 -1.150955 0.009685 -1.628949 0.206058 0.002070 623661171.849792 1.342862 4941308.847071 -0.147956 0.518639 -0.620136 4.679058 -16.501884 19.519252 8095687241.282948 
rand_030 -1.597811 -1.143903 0.006577 -1.628915 0.195620 0.001252 946640919.127803 1.434714 3616887.148845 -0.147143 0.520043 -0.621873 4.652060 -16.549916 19.578169 8085402124.753014 
rand_031 -1.628132 -1.124873 0.002257 -1.628871 0.188631 0.004274 198240745.214817 1.202341 4435119.953275 -0.148508 0.519352 -0.619629 4.698381 -16.527119 19.502287 6749168207.053287 
rand_032 -1.628243 -1.152290 0.002365 -1.628939 0.191819 0.000850 687632739.760368 1.176238 5842095.967898 -0.149017 0.513050 -0.613959 4.715249 -16.308920 19.307720 6977316882.764498 
rand_033 -1.683775 -1.125117 0.002519 -1.628939 0.189318 0.000688 1293196995.188706 1.566017 6854375.626897 -0.148157 0.517241 -0.618505 4.685186 -16.454059 19.464534 6980737238.008245 
rand_034 -1.706703 -1.135394 0.006958 -1.628932 0.196190 0.000275 1832260847.489300 1.021499 3777067.245354 -0.149364 0.515794 -0.616367 4.727133 -16.406516 19.392262 5598236484.074474 
rand_035 -1.667799 -1.162759 0.000887 -1.628924 0.195702 0.000700 353700102.166083 1.039675 3711227.984812 -0.148009 0.517834 -0.618276 4.681842 -16.476987 19.456627 6032890895.141535 
rand_036 -1.653249 -1.120567 0.009426 -1.628939 0.188599 0.001167 364139929.672313 1.082441 3426096.575802 -0.149016 0.514481 -0.613949 4.714844 -16.360705 19.310186 8189378547.976109 
rand_037 -1.663725 -1.141220 0.004987 -1.628942 0.199315 0.000194 4616588790.771757 1.327131 4232950.086306 -0.148632 0.516081 -0.616271 4.702294 -16.417147 19.389826 8287325404.302088 
rand_038 -1.672186 -1.109499 0.003144 -1.628929 0.197079 0.000270 2280570896.283019 1.464309 5947561.185638 -0.148289 0.518586 -0.618762 4.690751 -16.502924 19.474688 6382325603.093849 
rand_039 -1.700043 -1.133910 0.009158 -1.628978 0.197601 0.001112 797487897.732893 1.212998 6316191.170316 -0.148239 0.519103 -0.619312 4.688445 -16.516147 19.491065 8143349482.098797 
rand_040 -1.675459 -1.144226 0.009581 -1.628946 0.189601 0.000649 1764637639.039329 1.498153 2921343.083642 -0.147540 0.515418 -0.617914 4.664770 -16.392191 19.444099 7835765562.467697 
rand_041 -1.665591 -1.130665 0.003912 -1.628985 0.202040 0.001807 745952801.561200 1.550464 3794825.479516 -0.147915 0.518283 -0.618966 4.677567 -16.492659 19.482619 7426192653.321646 
rand_042 -1.671393 -1.105161 0.001391 -1.628944 0.189818 0.002100 1104137305.902101 1.650596 3607771.987048 -0.147552 0.514515 -0.617195 4.665335 -16.363081 19.421415 7734767873.711595 
rand_043 -1.671524 -1.093164 0.006393 -1.628957 0.190326 0.001800 831847526.945792 1.473825 4132323.712088 -0.149134 0.517853 -0.617796 4.719490 -16.477234 19.441218 7681923408.910116 
rand_044 -1.678361 -1.118139 0.001901 -1.628914 0.187528 0.001414 399214524.098426 1.002008 4777652.311630 -0.148899 0.520696 -0.619859 4.711689 -16.572566 19.509675 8081076298.823377 
rand_045 -1.621938 -1.141781 0.000681 -1.628951 0.196696 0.001228 921277659.045591 1.504801 4602583.039962 -0.149120 0.517264 -0.616148 4.718553 -16.459598 19.387522 6341123314.276297 
rand_046 -1.643706 -1.129348 0.006911 -1.628941 0.192205 0.000515 1394091680.891399 0.976236 5513819.223776 -0.148201 0.517203 -0.616940 4.687700 -16.455857 19.412450 7958045603.332266 
rand_047 -1.638012 -1.131968 0.008324 -1.628989 0.193929 0.000754 1210080536.738437 1.468947 3073354.329425 -0.148193 0.517505 -0.617214 4.687710 -16.466396 19.422183 6358494191.021089 
rand_048 -1.653726 -1.133005 0.002652 -1.628903 0.200148 0.001386 1023547394.864715 1.365815 4479478.920074 -0.147122 0.518649 -0.620448 4.650922 -16.503335 19.530994 6921224914.315120 
rand_049 -1.690707 -1.135088 0.002731 -1.628960 0.194127 0.000858 854157381.227311 0.863466 6366400.969509 -0.148997 0.515245 -0.613823 4.715317 -16.390087 19.306456 7969184041.329699 
rand_050 -1.643016 -1.149309 0.008289 -1.628944 0.191986 0.000630 1088131920.704361 1.659958 6404511.808423 -0.149092 0.517949 -0.617827 4.717289 -16.475359 19.439691 6691245731.649755 
rand_051 -1.628991 -1.110488 0.007829 -1.628910 0.188525 0.000516 1331931193.434823 1.262603 6664745.732723 -0.148568 0.518359 -0.618363 4.700621 -16.491951 19.457657 6755981194.102624 
rand_052 -1.625637 -1.112784 0.007304 -1.628910 0.190220 0.001202 726448842.205256 1.131030 5393253.730664 -0.147869 0.520397 -0.620991 4.676383 -16.560551 19.547342 8652725219.479937 
rand_053 -1.645656 -1.129537 0.001395 -1.628961 0.190693 0.000685 155188188.611269 0.691602 4344915.805724 -0.148179 0.520312 -0.620138 4.686458 -16.560385 19.520990 6172810565.123426 
rand_054 -1.659977 -1.104825 0.000342 -1.628917 0.187180 0.001285 881301980.500044 1.131658 5174862.342495 -0.147275 0.519682 -0.621653 4.656033 -16.540663 19.573711 9069844987.891905 
rand_055 -1.660044 -1.118179 0.009798 -1.628962 0.195911 0.000432 1561700370.852021 0.879243 7527718.479049 -0.147652 0.515424 -0.616727 4.668863 -16.394614 19.405568 8355921375.133986 
rand_056 -1.648068 -1.152329 0.005567 -1.628925 0.189393 0.001049 1069374007.193877 1.569584 4469435.428863 -0.147347 0.514330 -0.617665 4.658810 -16.353787 19.434916 7097506097.921084 
rand_057 -1.697743 -1.137088 0.001253 -1.628952 0.197389 0.000352 929307597.201544 0.982071 6832836.692029 -0.147063 0.517106 -0.619449 4.648276 -16.448546 19.496440 6803798422.467840 
rand_058 -1.645313 -1.100393 0.002617 -1.628958 0.198439 0.000886 427591735.550118 1.079522 2563209.708268 -0.147869 0.518897 -0.621466 4.675758 -16.506792 19.562570 6410762311.276470 
rand_059 -1.671171 -1.137213 0.003405 -1.628930 0.192466 0.000913 1199081819.463218 1.210098 5571985.361871 -0.148755 0.516415 -0.617405 4.705872 -16.423223 19.425234 8450806930.739187 
rand_060 -1.609182 -1.143867 0.002619 -1.628951 0.198461 0.000620 569898910.304484 0.677575 5647265.154372 -0.148477 0.519636 -0.619269 4.697052 -16.539147 19.492670 7705647017.261229 
rand_061 -1.666911 -1.115552 0.001851 -1.628876 0.193516 0.000529 1019405327.668165 1.039991 5373586.049946 -0.147843 0.519695 -0.621216 4.675146 -16.536755 19.555419 6094302950.334878 
rand_062 -1.655526 -1.135604 0.008125 -1.628948 0.196661 0.000957 917981461.672856 1.606632 5439064.325853 -0.148522 0.516772 -0.616675 4.698267 -16.441057 19.404287 6578351118.819788 
rand_063 -1.656671 -1.118784 0.005232 -1.628963 0.191031 0.000341 2533175211.017230 0.892800 5523215.491933 -0.147967 0.512241 -0.613496 4.679684 -16.289125 19.297867 5633566140.848874 
rand_064 -1.675919 -1.130722 0.012338 -1.628955 0.201166 0.001565 996030676.533861 1.661553 5569988.905132 -0.147897 0.514951 -0.617311 4.677113 -16.374771 19.423347 6966029792.102883 
rand_065 -1.649482 -1.145933 0.008350 -1.628931 0.193275 0.002366 609557373.576582 1.451945 4669260.413513 -0.148416 0.517327 -0.617465 4.694635 -16.459441 19.430741 7614417840.016093 
rand_066 -1.652132 -1.143862 0.003616 -1.628928 0.197285 0.001350 369049074.069870 1.216977 4728969.070632 -0.147508 0.514892 -0.615656 4.664036 -16.378600 19.370313 7378663224.308131 
rand_067 -1.636475 -1.163715 0.008893 -1.628923 0.188596 0.001335 563429392.659091 1.274382 3639184.173663 -0.148011 0.517334 -0.617784 4.681050 -16.460520 19.441950 6524166506.785860 
rand_068 -1.643430 -1.152104 0.004508 -1.628906 0.189791 0.001472 761894715.200619 1.343018 5732489.041406 -0.147631 0.517868 -0.619901 4.667965 -16.476243 19.513342 7472372689.000492 
rand_069 -1.655696 -1.117432 0.013018 -1.628976 0.196094 0.000812 826636574.885340 1.190033 6302275.857745 -0.147943 0.517410 -0.618928 4.678308 -16.457937 19.477744 7386003385.015860 
rand_070 -1.678832 -1.105885 0.001757 -1.628905 0.193712 0.000149 3080483671.803329 0.865684 6744384.618176 -0.147985 0.518607 -0.620109 4.679725 -16.499155 19.517874 9232951091.092409 
rand_071 -1.678163 -1.142209 0.004921 -1.628956 0.195066 0.000705 243234855.629984 0.701087 4178919.990286 -0.148131 0.519116 -0.619203 4.685345 -16.518484 19.487868 7635079049.956388 
rand_072 -1.621889 -1.157500 0.000580 -1.628920 0.200067 0.001248 397591047.480253 1.083803 3275920.301375 -0.147091 0.516141 -0.619262 4.649291 -16.416184 19.490226 7659253000.610013 
rand_073 -1.657996 -1.107243 0.001485 -1.628885 0.190245 0.000755 720045455.557688 1.026555 5376310.829733 -0.147957 0.519940 -0.620724 4.679611 -16.544772 19.537695 7616560574.547183 
rand_074 -1.612239 -1.106651 0.001648 -1.628953 0.197762 0.000586 817728383.714800 0.929941 3844373.877485 -0.148199 0.516832 -0.617036 4.687326 -16.441644 19.415118 6750890636.641810 
rand_075 -1.678820 -1.115541 0.008148 -1.628954 0.189070 0.000514 2097608554.206170 1.936186 5571768.262972 -0.148522 0.516902 -0.617963 4.698337 -16.442999 19.446296 7286184084.292755 
rand_076 -1.609542 -1.159019 0.003912 -1.628959 0.199054 0.001083 415179891.778040 0.999250 2794655.163319 -0.148608 0.518199 -0.618111 4.701298 -16.487543 19.450861 5831656891.455744 
rand_077 -1.681701 -1.119698 0.013082 -1.628940 0.196629 0.000826 342080060.520395 0.814963 6087209.461771 -0.148421 0.517391 -0.617709 4.695095 -16.461672 19.438428 8211517509.005096 
rand_078 -1.670083 -1.118968 0.003441 -1.628897 0.185710 0.001411 189413189.154074 0.897886 5153280.347211 -0.148267 0.517582 -0.618449 4.689689 -16.465452 19.461851 7039937857.213507 
rand_079 -1.649831 -1.111988 0.000218 -1.628961 0.199430 0.002209 1393753019.018704 1.668316 3078661.518370 -0.148973 0.513825 -0.613786 4.714283 -16.338846 19.303580 11823551170.591715 
rand_080 -1.637057 -1.126980 0.001239 -1.628944 0.200019 0.002067 1249047711.231565 1.887981 5304082.646033 -0.147058 0.517409 -0.619825 4.648642 -16.463974 19.512429 6930475732.138699 
rand_081 -1.644404 -1.145004 0.007795 -1.628905 0.191289 0.000229 2287926507.057950 1.418986 5094961.489153 -0.148534 0.516202 -0.618084 4.698726 -16.417794 19.449284 7259406335.419507 
rand_082 -1.704002 -1.138091 0.009728 -1.628914 0.189116 0.001085 535767009.886007 1.250907 5522893.209429 -0.148022 0.514908 -0.615767 4.682072 -16.379102 19.373640 7184244179.834260 
rand_083 -1.673165 -1.106459 0.007076 -1.628944 0.197193 0.000534 1314968614.046782 1.614914 5802013.602730 -0.147853 0.521050 -0.621382 4.675373 -16.582400 19.560942 7382231388.383409 
rand_084 -1.686347 -1.122409 0.007961 -1.628937 0.194149 0.001014 512272946.564084 1.115518 2583687.890326 -0.147097 0.517648 -0.619010 4.650299 -16.474060 19.485712 8822953444.273556 
rand_085 -1.691770 -1.156161 0.001459 -1.628906 0.191385 0.002204 996240131.570918 1.772642 4528792.441772 -0.148734 0.514658 -0.615295 4.706065 -16.364307 19.352821 8818844236.050243 
rand_086 -1.660373 -1.095871 0.001218 -1.628888 0.197223 0.001022 729627782.196281 1.370194 4910969.974967 -0.148160 0.516519 -0.617644 4.685958 -16.430668 19.436245 6419093879.042982 
rand_087 -1.708566 -1.106889 0.001340 -1.628885 0.202286 0.000717 1112067774.433228 1.224541 4704627.524462 -0.148970 0.516061 -0.616765 4.714388 -16.410478 19.400624 6446341026.089064 
rand_088 -1.637002 -1.096750 0.002108 -1.628894 0.189284 0.000882 731177918.928814 1.115254 4648971.495819 -0.148351 0.518190 -0.618441 4.692626 -16.486622 19.461603 10946243044.223686 
rand_089 -1.642870 -1.107314 0.004347 -1.628949 0.199107 0.001694 857168839.792618 1.412361 6054450.227152 -0.147475 0.518668 -0.620820 4.662435 -16.500606 19.541809 6671792874.955226 
rand_090 -1.622754 -1.148568 0.006346 -1.628882 0.190207 0.000894 391824979.882496 0.909423 3268734.932033 -0.148326 0.520718 -0.620200 4.692126 -16.575153 19.522833 8036877999.072072 
rand_091 -1.684533 -1.123400 0.004542 -1.628951 0.187036 0.001144 2411459869.923343 1.647866 4708516.287238 -0.148325 0.517061 -0.617319 4.691978 -16.449203 19.424380 8311894325.635286 
rand_092 -1.682270 -1.117930 0.003511 -1.628976 0.199200 0.000343 3018997495.960065 1.534940 4787743.578326 -0.148395 0.519627 -0.620076 4.693937 -16.532931 19.515769 6564284352.910672 
rand_093 -1.635800 -1.156886 0.005280 -1.628928 0.197253 0.001114 1433983653.041279 1.581922 4890575.936203 -0.147588 0.518514 -0.619451 4.666846 -16.498195 19.496719 6083468250.892050 
rand_094 -1.634061 -1.153448 0.002381 -1.628891 0.196757 0.000991 647032431.209290 1.141137 4022686.011524 -0.148414 0.516821 -0.618686 4.694142 -16.434179 19.466593 5753705425.416499 
rand_095 -1.628981 -1.115132 0.011229 -1.628913 0.193062 0.000558 921104552.781972 1.249910 7141746.387951 -0.148263 0.513284 -0.614246 4.690170 -16.320671 19.319141 7070092375.251505 
rand_096 -1.633454 -1.113546 0.009789 -1.628933 0.191831 0.000196 1083049246.180451 0.738699 5978588.613392 -0.148920 0.518340 -0.618667 4.712542 -16.490248 19.467696 6752965993.299170 
rand_097 -1.654960 -1.082636 0.000478 -1.628923 0.198963 0.000579 1243548116.239342 1.332853 7211535.409944 -0.147824 0.520256 -0.621008 4.675365 -16.559114 19.549956 7077072808.792749 
rand_098 -1.670581 -1.135208 0.005176 -1.628917 0.197364 0.000329 2731544702.278310 1.280259 5640271.233465 -0.148296 0.516605 -0.617913 4.690939 -16.433304 19.444445 7760976170.445866 
rand_099 -1.643095 -1.163659 0.003540 -1.628927 0.188289 0.000840 952567288.180291 1.291332 5762280.924284 -0.148791 0.515332 -0.615564 4.707629 -16.392184 19.366587 7037524991.256612 
rand_100 -1.670163 -1.133023 0.006544 -1.628939 0.192327 0.001712 267371022.424487 1.108834 4995618.056647 -0.148617 0.516242 -0.616850 4.701837 -16.421108 19.408053 8570846594.349458 
rand_101 -1.657578 -1.113131 0.001778 -1.628951 0.189434 0.001295 1168328158.160791 1.419765 6563083.124675 -0.148913 0.514754 -0.616597 4.711557 -16.367705 19.398029 9182005323.497847 
rand_102 -1.668781 -1.137282 0.005504 -1.628928 0.198410 0.001357 258486619.371368 1.184676 5565527.991815 -0.148918 0.513046 -0.614131 4.712124 -16.309460 19.313861 6287887663.319623 
rand_103 -1.653867 -1.127965 0.007186 -1.628934 0.201343 0.000531 923250872.590770 1.044765 4809351.153686 -0.147629 0.517679 -0.618486 4.668399 -16.470856 19.464182 7763414596.968242 
rand_104 -1.631432 -1.142842 0.010387 -1.628931 0.189600 0.000552 986346277.728102 1.286655 6846571.650294 -0.149224 0.518910 -0.617779 4.722385 -16.513807 19.441330 6948092073.273242 
rand_105 -1.668037 -1.106138 0.001806 -1.628903 0.191018 0.001515 997422941.444397 1.487006 3697182.385747 -0.147382 0.519919 -0.621660 4.659364 -16.543141 19.569657 7053869705.450002 
rand_106 -1.671532 -1.115108 0.002365 -1.628938 0.202870 0.000792 1624317243.408072 1.625311 4267882.994442 -0.147855 0.518148 -0.619458 4.675858 -16.482488 19.494743 6882995704.078157 
rand_107 -1.662441 -1.146401 0.010476 -1.628937 0.196670 0.000628 1046113585.349272 1.185173 7810617.924246 -0.147568 0.517309 -0.619017 4.665945 -16.455165 19.480123 6889855141.790270 
rand_108 -1.687117 -1.140439 0.001027 -1.628926 0.188574 0.000912 466337825.871419 1.143524 5670703.458839 -0.147792 0.518858 -0.620557 4.673991 -16.511218 19.535313 8050578580.930058 
rand_109 -1.644725 -1.143590 0.003155 -1.628860 0.191307 0.001368 1783148529.904339 2.006253 2366856.955978 -0.148336 0.515539 -0.617022 4.691982 -16.394955 19.412860 7594631429.528919 
rand_110 -1.657320 -1.167192 0.007933 -1.628960 0.187020 0.001252 697169972.718129 1.332797 6018932.017784 -0.147779 0.520054 -0.620762 4.673295 -16.551227 19.542076 6932427441.722727 
rand_111 -1.660814 -1.145240 0.003573 -1.628902 0.195608 0.000730 2260455192.088623 1.631638 3976896.393585 -0.148639 0.511943 -0.613312 4.702802 -16.274593 19.287506 7625698099.864348 
rand_112 -1.652441 -1.165457 0.010841 -1.628939 0.195400 0.000573 2499538225.192135 1.464346 4425685.746087 -0.148015 0.518646 -0.620696 4.680966 -16.500706 19.537973 8522570881.818027 
rand_113 -1.693901 -1.111328 0.010898 -1.628933 0.193219 0.000570 1035210902.969531 1.374696 7550940.035194 -0.147977 0.519529 -0.619567 4.680168 -16.533273 19.500560 8484466023.255912 
rand_114 -1.627785 -1.109742 0.007261 -1.628966 0.193430 0.002155 431693008.708740 1.384614 6655516.224667 -0.148353 0.513534 -0.615236 4.693228 -16.331177 19.355261 7213509674.462024 
rand_115 -1.671952 -1.135976 0.007123 -1.628880 0.189746 0.001463 650127233.144602 1.442981 6998111.535835 -0.148549 0.517124 -0.617282 4.699495 -16.450806 19.422401 7739187417.612560 
rand_116 -1.668619 -1.125906 0.006163 -1.628925 0.196355 0.000992 679150892.434516 1.315260 4392701.125225 -0.147504 0.521385 -0.622204 4.664191 -16.596527 19.590168 7290049779.313005 
rand_117 -1.640104 -1.108580 0.000009 -1.628913 0.201609 0.000376 1887131222.425713 1.404291 4708893.422405 -0.148992 0.510933 -0.613038 4.713983 -16.241348 19.280687 7903031867.170238 
rand_118 -1.645942 -1.114324 0.004253 -1.628971 0.193072 0.001319 376928027.072887 1.239582 5218665.622592 -0.147895 0.520173 -0.621543 4.676650 -16.551414 19.565870 8439027293.699793 
rand_119 -1.614026 -1.089906 0.000979 -1.628948 0.186995 0.001349 1038073528.969569 1.740858 5868397.229688 -0.148748 0.513189 -0.613884 4.706640 -16.319749 19.309506 5785302831.459411 
rand_120 -1.682199 -1.124812 0.005635 -1.628920 0.198705 0.001241 1089000584.276638 1.550226 4658016.014783 -0.147819 0.517160 -0.618206 4.674773 -16.454431 19.455630 6531954500.712285 
rand_121 -1.681566 -1.100947 0.007666 -1.628935 0.191716 0.001046 916417815.501698 1.382426 6878373.203469 -0.148839 0.516669 -0.615893 4.709667 -16.440819 19.379282 7346810428.198427 
rand_122 -1.687505 -1.128098 0.005340 -1.628919 0.190594 0.000771 867975506.142067 1.232139 5491185.726785 -0.148245 0.516880 -0.617468 4.688857 -16.442838 19.429721 7122942564.297410 
rand_123 -1.656929 -1.132390 0.000856 -1.628874 0.187736 0.000402 1262238775.651181 0.941251 6490931.115992 -0.148731 0.520577 -0.619400 4.705670 -16.572715 19.498331 5595471746.862967 
rand_124 -1.666223 -1.116426 0.001570 -1.628917 0.186554 0.000625 2445959974.267560 1.345919 4220010.342988 -0.148270 0.514839 -0.616041 4.689974 -16.375333 19.383022 6751047666.541841 
rand_125 -1.675992 -1.118957 0.007390 -1.628943 0.195882 0.001339 768015928.833158 1.167459 4581121.427706 -0.147833 0.517823 -0.619181 4.675208 -16.473745 19.486795 7035630410.624275 
rand_126 -1.661510 -1.142158 0.003598 -1.628949 0.194884 0.001032 528072131.157729 1.131117 5245674.176855 -0.148292 0.517151 -0.618337 4.690877 -16.453807 19.459928 7861393175.098965 
rand_127 -1.683739 -1.146481 0.013509 -1.628952 0.200578 0.000473 479998859.786915 1.001935 4540883.949191 -0.148139 0.517567 -0.618579 4.685561 -16.464113 19.465127 6881441068.129544 
rand_128 -1.624443 -1.128504 0.005523 -1.628943 0.202249 0.000766 281077163.585898 0.818477 6047724.399020 -0.148431 0.515617 -0.616410 4.695108 -16.401024 19.394871 6117021549.165442 
rand_129 -1.676082 -1.167801 0.010707 -1.628941 0.192761 0.001122 635159590.290867 1.016786 6067647.711717 -0.147924 0.515221 -0.616748 4.678459 -16.389856 19.406959 7463625468.956573 
rand_130 -1.673136 -1.136151 0.003326 -1.628928 0.191469 0.001307 302736723.136268 0.901619 4760936.920413 -0.148204 0.519281 -0.619901 4.687943 -16.524852 19.512465 7585380778.056262 
rand_131 -1.714899 -1.149647 0.007416 -1.628917 0.190285 0.001174 380873819.869949 1.132714 5657971.180800 -0.147631 0.515602 -0.617261 4.668345 -16.400668 19.422958 7988101098.659006 
rand_132 -1.697847 -1.141527 0.010629 -1.628919 0.187023 0.001564 1317856940.318278 1.843864 7041854.086863 -0.147210 0.520550 -0.622094 4.653809 -16.567083 19.586227 7480675615.837379 
rand_133 -1.673525 -1.145575 0.001164 -1.628927 0.190008 0.000569 1144538610.889277 1.127793 6044597.447378 -0.148046 0.516545 -0.616154 4.682196 -16.435324 19.387946 8491649611.496362 
rand_134 -1.667026 -1.114642 0.004505 -1.628926 0.197698 0.002689 370030941.858246 1.237395 5652001.455853 -0.147901 0.520113 -0.620675 4.677545 -16.550808 19.536738 6899155486.946979 
rand_135 -1.643454 -1.121066 0.006685 -1.628863 0.194106 0.002502 239603914.808194 1.072488 6295316.761605 -0.148520 0.517837 -0.618417 4.698565 -16.475087 19.461525 6135763392.164511 
rand_136 -1.694399 -1.128941 0.000554 -1.628951 0.191482 0.000599 1731325823.044542 1.810282 6680820.167294 -0.148722 0.518437 -0.618330 4.705421 -16.493596 19.456160 7395023879.050353 
